Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation;LINDA Precision;LINDA Recall;LINDA Correlation
Case102;1;1;1;0.5841584158415841;1.0;1.0;1.0;1.0;1.0;0.11623730516108464;0.006535947712418301;1.0;0.0
Case136;0;1;0;0.6888888888888889;1.0;1.0;1.0;1.0;1.0;0.11623730516108464;0.006535947712418301;1.0;0.0
Case205;0;1;1;0.5841584158415841;1.0;1.0;1.0;1.0;1.0;0.11623730516108464;0.006535947712418301;1.0;0.0
Case209;0;1;1;0.5841584158415841;1.0;1.0;1.0;1.0;1.0;0.11623730516108464;0.006535947712418301;1.0;0.0
Case214;1;1;1;0.5841584158415841;1.0;1.0;1.0;1.0;1.0;0.11623730516108464;0.006535947712418301;1.0;0.0
Case268;1;1;1;0.5841584158415841;1.0;1.0;1.0;1.0;1.0;0.11623730516108464;0.006535947712418301;1.0;0.0
Case5;0;1;0;0.6888888888888889;1.0;1.0;1.0;1.0;1.0;0.11623730516108464;0.006535947712418301;1.0;0.0
Case85;1;1;1;0.5841584158415841;1.0;1.0;1.0;1.0;1.0;0.11623730516108464;0.006535947712418301;1.0;0.0
Case123_2;1;2;1;0.9230769230769232;1.0;1.0;0.38153587020510216;1.0;1.0;0.1114448945191618;0.006172839506172839;1.0;0.0
Case192_2;0;2;0;0.6666666666666666;1.0;0.2857142857142857;0.9837251356238698;1.0;0.14285714285714285;0.2910390542915106;0.043209876543209874;1.0;0.0
Case200_2;1;2;1;0.72;1.0;0.5;0.5353781015569783;1.0;0.5;0.1573619597998159;0.012345679012345678;1.0;0.0
Case239_2;0;2;1;0.65;1.0;0.3333333333333333;0.6505492185179271;1.0;0.3333333333333333;0.1916260366999228;0.018518518518518517;1.0;0.0
Case45_2;1;2;1;0.65;1.0;0.3333333333333333;0.6450593516949911;1.0;0.3333333333333333;0.1916260366999228;0.018518518518518517;1.0;0.0
Case72_2;0;2;0;0.6666666666666666;1.0;0.2857142857142857;0.9837251356238698;1.0;0.14285714285714285;0.28998265119063393;0.043209876543209874;1.0;0.0
Case74_2;0;2;0;0.6666666666666666;1.0;0.2857142857142857;0.9837251356238698;1.0;0.14285714285714285;0.28998265119063393;0.043209876543209874;1.0;0.0
