Case ID,Actual,Prefix Length,Prediction,Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation
Case101_11,0,11,0,0.8373493975903614;1.0;0.5;0.3941079301155874
Case101_6,0,6,0,0.8373493975903614;1.0;0.5;0.3941079301155874
Case106_7,0,7,0,0.8373493975903614;1.0;0.5;0.3941079301155874
Case108_4,1,4,1,0.8417721518987342;1.0;0.5;0.39653320968552946
Case109_4,1,4,0,0.5294117647058824;1.0;0.2;0.6078941451074418
Case109_5,1,5,1,0.8417721518987342;1.0;1.0;0.39653320968552946
Case111_12,1,12,1,0.9053497942386831;1.0;0.14285714285714285;0.7158693831174138
Case115_12,1,12,0,0.8275862068965517;1.0;0.3333333333333333;0.4739964695149088
Case117,0,1,1,0.63671875;1.0;0.4;0.6248442987099306
Case11_14,1,14,1,0.9053497942386831;1.0;0.14285714285714285;0.7028060732065121
Case124_5,0,5,1,0.5531914893617021;1.0;0.16666666666666666;0.670945480203747
Case124_8,0,8,0,0.9230769230769231;1.0;0.2;0.6078941451074418
Case12_7,0,7,1,0.8823529411764706;0.0;0.0;0.6121221030424336
Case135_5,1,5,1,0.8417721518987342;1.0;0.5;0.39653320968552946
Case135_6,1,6,1,0.8417721518987342;1.0;0.5;0.39653320968552946
Case136_3,0,3,1,0.7232142857142857;1.0;0.14285714285714285;0.7224010380728646
Case155_12,0,12,0,0.8373493975903614;1.0;0.5;0.39895848925547156
Case155_9,0,9,0,0.8373493975903614;1.0;0.5;0.39653320968552946
Case17,1,1,1,0.5531914893617021;1.0;0.16666666666666666;0.6751741281882244
Case178_11,0,11,0,0.5294117647058824;1.0;0.2;0.6048122989978983
Case178_14,0,14,0,0.5294117647058824;1.0;0.2;0.6032713759431266
Case17_9,1,9,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504
Case185_4,0,4,1,0.63671875;1.0;0.2;0.6263852217647023
Case185_5,0,5,1,0.63671875;1.0;0.2;0.6263852217647023
Case187_14,1,14,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504
Case187_9,1,9,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504
Case18_7,1,7,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504
Case192_12,0,12,0,0.8125;1.0;0.25;0.5487336158690711
Case192_14,0,14,0,0.8125;1.0;0.25;0.5487336158690711
Case192_5,0,5,0,0.8275862068965517;1.0;0.3333333333333333;0.4799462159941754
Case195_13,0,13,0,0.5294117647058824;1.0;0.2;0.6048122989978983
Case199_5,1,5,1,0.63671875;1.0;0.2;0.6217624526003872
Case200_3,1,3,1,0.63671875;1.0;0.2;0.6186806064908438
Case201_13,1,13,0,0.8373493975903614;1.0;0.5;0.39895848925547156
Case201_14,1,14,0,0.8373493975903614;1.0;0.5;0.39895848925547156
Case203_3,0,3,1,0.63671875;1.0;0.2;0.6263852217647023
Case206,1,1,1,0.63671875;1.0;0.2;0.6094350681622135
Case206_6,1,6,1,0.63671875;1.0;0.2;0.6109759912169852
Case207,1,1,1,0.63671875;1.0;0.4;0.6248442987099306
Case207_12,1,12,1,0.8417721518987342;1.0;0.5;0.39895848925547156
Case207_7,1,7,1,0.8417721518987342;1.0;0.5;0.39653320968552946
Case208_2,1,2,1,0.5531914893617021;1.0;0.16666666666666666;0.6751741281882244
Case20_11,1,11,1,0.9053497942386831;1.0;0.14285714285714285;0.7145630521263237
Case20_13,1,13,1,0.9053497942386831;1.0;0.14285714285714285;0.7106440591530532
Case20_8,1,8,1,0.9053497942386831;1.0;0.14285714285714285;0.7224010380728646
Case210_13,0,13,1,0.8417721518987342;1.0;0.5;0.39895848925547156
Case210_8,0,8,1,0.8417721518987342;1.0;0.5;0.39895848925547156
Case211_2,0,2,1,0.63671875;1.0;0.2;0.6094350681622135
Case211_4,0,4,1,0.63671875;1.0;0.2;0.6217624526003872
Case223_13,0,13,0,0.8373493975903614;1.0;0.5;0.39895848925547156
Case223_6,0,6,1,0.5531914893617021;1.0;0.3333333333333333;0.6723550295319062
Case225_2,1,2,1,0.7232142857142857;1.0;0.2857142857142857;0.7250137000550451
Case225_8,1,8,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504
Case229_10,0,10,0,0.8373493975903614;1.0;0.5;0.39653320968552946
Case235_10,1,10,1,0.9053497942386831;1.0;0.14285714285714285;0.7054187351886924
Case238_12,1,12,1,0.8417721518987342;1.0;0.5;0.39653320968552946
Case239_4,0,4,0,0.8235294117647058;1.0;0.2;0.6032713759431266
Case244_4,1,4,1,0.63671875;1.0;0.2;0.6202215295456155
Case245_10,1,10,1,0.9053497942386831;1.0;0.14285714285714285;0.7054187351886924
Case245_8,1,8,1,0.9053497942386831;1.0;0.14285714285714285;0.7028060732065121
Case248_6,1,6,1,0.7232142857142857;1.0;0.14285714285714285;0.7145630521263237
Case251_12,0,12,0,0.8275862068965517;1.0;0.3333333333333333;0.4839127136470198
Case251_8,0,8,0,0.8275862068965517;1.0;0.3333333333333333;0.4779629671677532
Case252_10,0,10,0,0.8275862068965517;1.0;0.3333333333333333;0.4779629671677532
Case253_3,1,3,1,0.63671875;1.0;0.2;0.6248442987099306
Case257_4,1,4,1,0.63671875;1.0;0.4;0.6248442987099306
Case258_10,1,10,1,0.8417721518987342;1.0;0.5;0.39653320968552946
Case25_3,1,3,1,0.8823529411764706;1.0;0.2;0.6152058415968036
Case260_14,1,14,1,0.8417721518987342;1.0;0.5;0.39895848925547156
Case263_12,0,12,0,0.8373493975903614;1.0;0.5;0.39895848925547156
Case263_14,0,14,0,0.8373493975903614;1.0;0.5;0.39895848925547156
Case263_2,0,2,1,0.5531914893617021;1.0;0.16666666666666666;0.6723550295319062
Case263_7,0,7,0,0.8235294117647058;1.0;0.4;0.6094350681622135
