Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation;ACV Precision;ACV Recall;ACV Correlation;LINDA Precision;LINDA Recall;LINDA Correlation
0;0;0.999514627;1;1;1;0.80193662;0.9236794540000001;0.9236794540000001;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;0.0;0.0;0.6643678160919539;1.0;0.5;0.330704545816784;0.0;0.0;0.15898659715328464
0;0;0.99999556;1;1;1;0.869593567;0.980560219;0.980560219;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.4344827586206897;0.5;0.25;0.288900144477099;0.0;0.0;0.18620689655172415
0;0;0.9810701070000001;1;1;1;1.0;0.964445032;0.964445032;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;0.0;0.0;0.5862068965517242;0.5;0.25;0.3450984529328905;0.5;0.25;0.043678160919540236
0;0;0.999915142;1;1;1;1.0;0.954677909;0.954677909;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.5586206896551724;0.0;0.0;0.30892291012303;0.0;0.0;0.1568636841681755
0;0;0.993589828;1;1;1;1.0;0.967716661;0.967716661;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.5;0.5494252873563219;0.5;0.25;0.2457581620011381;0.6666666666666666;0.5;0.14942528735632182
1;0;0.852633428;1;1;1;0.775224775;0.966475315;0.966475315;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.5954022988505747;1.0;0.5;0.3992517981765789;0.0;0.0;0.21629369260439898
0;0;0.99729933;1;1;1;1.0;0.938037137;0.938037137;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.5770114942528736;0.5;0.25;0.30892291012303;0.2;0.25;0.06444192989438757
0;0;0.763393558;1;1;1;0.88179669;0.981618835;0.981618835;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;0.0;0.0;0.6413793103448276;0.0;0.0;0.0;0.0;0.0;0.18160919540229886
0;0;0.999626937;1;1;1;0.88179669;0.963160509;0.963160509;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.4252873563218391;0.5;0.25;0.2960417465909359;0.0;0.0;0.04827586206896552
0;0;0.907258307;1;1;1;0.88179669;0.8594553659999999;0.8594553659999999;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;0.0;0.0;0.4758620689655172;0.5;0.5;0.3008975668093039;1.0;0.25;0.011494252873563218
0;0;0.9996552459999999;1;1;1;0.47283434700000004;0.9115932240000001;0.9115932240000001;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;0.5;0.25;0.5080459770114942;0.5;0.25;0.2915673065569485;0.0;0.0;0.01841197996982502
0;0;0.9997152229999999;1;1;1;1.0;0.863179522;0.863179522;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.5126436781609195;0.5;0.25;0.2753048435605297;0.0;0.0;0.08064537536760816
0;0;0.995082302;1;1;1;1.0;0.960446523;0.960446523;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.6045977011494253;0.5;0.25;0.25766413137590793;0.25;0.25;0.15650182974351268
0;0;0.999998163;1;1;1;1.0;0.985173545;0.985173545;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.44367816091954027;0.5;0.25;0.3050187558504318;1.0;0.25;0.1930363063028507
0;0;0.9999716679999999;1;1;1;0.88179669;0.977253258;0.977253258;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.6965517241379311;1.0;0.5;0.330704545816784;1.0;0.25;0.3186261923312114
0;0;0.999999408;1;1;1;1.0;0.950210232;0.950210232;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.4482758620689655;0.5;0.25;0.2753048435605297;0.0;0.0;0.2305313009786038
0;0;0.999999781;1;1;1;1.0;0.965556121;0.965556121;1.0;1.0;1.0;;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.37931034482758624;0.0;0.0;0.404026866528272;0.13333333333333333;1.0;0.0
0;0;0.9722935090000001;1;1;1;1.0;0.9750261029999999;0.9750261029999999;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.7103448275862069;1.0;0.5;0.3290286060156227;1.0;0.25;0.17701149425287357
0;0;0.988767455;1;1;1;0.80193662;0.977702498;0.977702498;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;0.0;0.0;0.5264367816091954;1.0;0.5;0.3759944118750305;0.3333333333333333;0.25;0.0896551724137931
0;0;0.9999846;1;1;1;0.269115442;0.8734038209999999;0.8734038209999999;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.30574712643678165;0.5;0.25;0.3050187558504318;0.0;0.0;0.26036935475827777
0;0;0.955968225;1;1;1;0.17328042300000002;0.956049397;0.956049397;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.4804597701149426;1.0;0.5;0.3171626210295518;0.5;0.25;0.1614773219378277
0;0;0.999215808;1;1;1;1.0;0.959744155;0.959744155;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.4850574712643679;0.5;0.25;0.3050187558504318;0.0;0.0;0.0414269549321063
0;0;0.999992985;1;1;1;1.0;0.886522334;0.886522334;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.5770114942528736;0.5;0.25;0.25896219566870515;1.0;0.25;0.21684097517365436
0;0;0.998422465;1;1;1;1.0;0.9421282529999999;0.9421282529999999;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;0.0;0.0;0.5770114942528736;0.5;0.25;0.3450984529328905;0.0;0.0;0.10150003093234884
0;0;0.937546398;1;1;1;1.0;0.905594243;0.905594243;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.6735632183908047;0.5;0.25;0.25766413137590793;1.0;0.25;0.05983893490193132
0;0;0.99998229;1;1;1;0.88179669;0.9744794090000001;0.9744794090000001;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.7517241379310345;0.5;0.25;0.30892291012303;0.0;0.0;0.20858160091690026
0;0;0.984670155;1;1;1;0.80193662;0.987297908;0.987297908;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;0.0;0.0;0.6045977011494253;0.6666666666666666;0.5;0.33712599330837195;0.0;0.0;0.07364791987930008
0;0;0.995340385;1;1;1;0.921218487;0.90992994;0.90992994;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.5080459770114942;0.5;0.25;0.2753048435605297;0.5;0.25;0.12428086479631888
0;0;0.9964838909999999;1;1;1;1.0;0.88209131;0.88209131;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.5540229885057472;0.0;0.0;0.16314659688724667;0.3333333333333333;0.25;0.14942528735632182
0;0;0.999999979;1;1;1;1.0;0.9746233959999999;0.9746233959999999;1.0;1.0;1.0;;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.6873563218390805;0.5;0.25;0.3050187558504318;0.13333333333333333;1.0;0.0
0;0;0.989490263;1;1;1;1.0;0.855932122;0.855932122;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;0.5;0.25;0.7471264367816092;0.6666666666666666;0.5;0.3024870161621335;0.5;0.25;0.10344827586206898
0;0;0.999996977;1;1;1;0.869565217;0.97382961;0.97382961;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.6413793103448276;0.5;0.25;0.3297191737559703;0.0;0.0;0.15650182974351268
0;0;0.9999614929999999;1;1;1;0.614857925;0.9124686790000001;0.9124686790000001;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.4850574712643679;1.0;0.5;0.2883194041644336;0.0;0.0;0.20713477466053148
0;0;1.0;1;1;1;1.0;0.906432991;0.906432991;1.0;1.0;1.0;;1.0;1.0;0.0;0.0;0.5816091954022989;1.0;0.25;0.5264367816091954;0.5;0.25;0.3886593571286842;0.13333333333333333;1.0;0.0
