iter;dataset;cls;method;param;value;score
2;production;decision_tree;single_agg;criterion;entropy;0.9916985994584442
2;production;decision_tree;single_agg;max_features;0.5133430507608006;0.9916985994584442
2;production;decision_tree;single_agg;min_samples_split;0.07313385693442465;0.9916985994584442
2;production;decision_tree;single_agg;splitter;best;0.9916985994584442
2;production;decision_tree;single_agg;processing_time;0.8808848857879639;0
3;production;decision_tree;single_agg;criterion;entropy;0.9940550433703591
3;production;decision_tree;single_agg;max_features;0.1831200700205441;0.9940550433703591
3;production;decision_tree;single_agg;min_samples_split;0.7422426534708191;0.9940550433703591
3;production;decision_tree;single_agg;splitter;random;0.9940550433703591
3;production;decision_tree;single_agg;processing_time;0.870093584060669;0
4;production;decision_tree;single_agg;criterion;entropy;0.9890904944209451
4;production;decision_tree;single_agg;max_features;0.33767794699660847;0.9890904944209451
4;production;decision_tree;single_agg;min_samples_split;0.20707826179348288;0.9890904944209451
4;production;decision_tree;single_agg;splitter;best;0.9890904944209451
4;production;decision_tree;single_agg;processing_time;0.8816020488739014;0
5;production;decision_tree;single_agg;criterion;entropy;0.9893482086154499
5;production;decision_tree;single_agg;max_features;0.9388760655810853;0.9893482086154499
5;production;decision_tree;single_agg;min_samples_split;0.08848581688732038;0.9893482086154499
5;production;decision_tree;single_agg;splitter;random;0.9893482086154499
5;production;decision_tree;single_agg;processing_time;0.8329300880432129;0
6;production;decision_tree;single_agg;criterion;gini;0.9903939060316311
6;production;decision_tree;single_agg;max_features;0.05804942188228723;0.9903939060316311
6;production;decision_tree;single_agg;min_samples_split;0.7354391641517165;0.9903939060316311
6;production;decision_tree;single_agg;splitter;best;0.9903939060316311
6;production;decision_tree;single_agg;processing_time;0.9206547737121582;0
7;production;decision_tree;single_agg;criterion;gini;0.992227947565634
7;production;decision_tree;single_agg;max_features;0.5432912458983475;0.992227947565634
7;production;decision_tree;single_agg;min_samples_split;0.36181054429504633;0.992227947565634
7;production;decision_tree;single_agg;splitter;random;0.992227947565634
7;production;decision_tree;single_agg;processing_time;0.8518109321594238;0
8;production;decision_tree;single_agg;criterion;gini;0.9924673831600246
8;production;decision_tree;single_agg;max_features;0.1349733791074349;0.9924673831600246
8;production;decision_tree;single_agg;min_samples_split;0.04602037210624044;0.9924673831600246
8;production;decision_tree;single_agg;splitter;random;0.9924673831600246
8;production;decision_tree;single_agg;processing_time;0.8501884937286377;0
9;production;decision_tree;single_agg;criterion;entropy;0.9930118022620777
9;production;decision_tree;single_agg;max_features;0.6248813468698022;0.9930118022620777
9;production;decision_tree;single_agg;min_samples_split;0.6480804832080928;0.9930118022620777
9;production;decision_tree;single_agg;splitter;random;0.9930118022620777
9;production;decision_tree;single_agg;processing_time;0.8000195026397705;0
10;production;decision_tree;single_agg;criterion;gini;0.9945734311544769
10;production;decision_tree;single_agg;max_features;0.10429185749257242;0.9945734311544769
10;production;decision_tree;single_agg;min_samples_split;0.17583434621676108;0.9945734311544769
10;production;decision_tree;single_agg;splitter;best;0.9945734311544769
10;production;decision_tree;single_agg;processing_time;0.8124492168426514;0
11;production;decision_tree;single_agg;criterion;gini;0.9911785936806022
11;production;decision_tree;single_agg;max_features;0.808001899001639;0.9911785936806022
11;production;decision_tree;single_agg;min_samples_split;0.6367937731368538;0.9911785936806022
11;production;decision_tree;single_agg;splitter;best;0.9911785936806022
11;production;decision_tree;single_agg;processing_time;0.8124685287475586;0
