iter;dataset;cls;method;param;value;score
2;bpic2012_accepted;decision_tree;single_agg;criterion;entropy;0.9994693162797467
2;bpic2012_accepted;decision_tree;single_agg;max_features;0.508228701188969;0.9994693162797467
2;bpic2012_accepted;decision_tree;single_agg;min_samples_split;0.6359789444961941;0.9994693162797467
2;bpic2012_accepted;decision_tree;single_agg;splitter;best;0.9994693162797467
2;bpic2012_accepted;decision_tree;single_agg;processing_time;41.3144907951355;0
3;bpic2012_accepted;decision_tree;single_agg;criterion;gini;0.9991826816023203
3;bpic2012_accepted;decision_tree;single_agg;max_features;0.8293267039497128;0.9991826816023203
3;bpic2012_accepted;decision_tree;single_agg;min_samples_split;0.523851807076365;0.9991826816023203
3;bpic2012_accepted;decision_tree;single_agg;splitter;best;0.9991826816023203
3;bpic2012_accepted;decision_tree;single_agg;processing_time;39.912960052490234;0
4;bpic2012_accepted;decision_tree;single_agg;criterion;gini;0.9992901512630872
4;bpic2012_accepted;decision_tree;single_agg;max_features;0.2301607152959082;0.9992901512630872
4;bpic2012_accepted;decision_tree;single_agg;min_samples_split;0.5405175592851909;0.9992901512630872
4;bpic2012_accepted;decision_tree;single_agg;splitter;best;0.9992901512630872
4;bpic2012_accepted;decision_tree;single_agg;processing_time;38.39418411254883;0
5;bpic2012_accepted;decision_tree;single_agg;criterion;entropy;0.9992328479995085
5;bpic2012_accepted;decision_tree;single_agg;max_features;0.47206175586235044;0.9992328479995085
5;bpic2012_accepted;decision_tree;single_agg;min_samples_split;0.01894056205273409;0.9992328479995085
5;bpic2012_accepted;decision_tree;single_agg;splitter;best;0.9992328479995085
5;bpic2012_accepted;decision_tree;single_agg;processing_time;38.907167196273804;0
6;bpic2012_accepted;decision_tree;single_agg;criterion;gini;0.9993331626178193
6;bpic2012_accepted;decision_tree;single_agg;max_features;0.9607361750296419;0.9993331626178193
6;bpic2012_accepted;decision_tree;single_agg;min_samples_split;0.14320269965788945;0.9993331626178193
6;bpic2012_accepted;decision_tree;single_agg;splitter;random;0.9993331626178193
6;bpic2012_accepted;decision_tree;single_agg;processing_time;37.109647035598755;0
7;bpic2012_accepted;decision_tree;single_agg;criterion;gini;0.9993976514456828
7;bpic2012_accepted;decision_tree;single_agg;max_features;0.36725576396395465;0.9993976514456828
7;bpic2012_accepted;decision_tree;single_agg;min_samples_split;0.7580084690334141;0.9993976514456828
7;bpic2012_accepted;decision_tree;single_agg;splitter;random;0.9993976514456828
7;bpic2012_accepted;decision_tree;single_agg;processing_time;37.79386782646179;0
8;bpic2012_accepted;decision_tree;single_agg;criterion;entropy;0.999340313656647
8;bpic2012_accepted;decision_tree;single_agg;max_features;0.45125850761782615;0.999340313656647
8;bpic2012_accepted;decision_tree;single_agg;min_samples_split;0.5784937331296706;0.999340313656647
8;bpic2012_accepted;decision_tree;single_agg;splitter;random;0.999340313656647
8;bpic2012_accepted;decision_tree;single_agg;processing_time;38.134873390197754;0
9;bpic2012_accepted;decision_tree;single_agg;criterion;gini;0.9993044835497477
9;bpic2012_accepted;decision_tree;single_agg;max_features;0.12559039618279055;0.9993044835497477
9;bpic2012_accepted;decision_tree;single_agg;min_samples_split;0.33890087007188596;0.9993044835497477
9;bpic2012_accepted;decision_tree;single_agg;splitter;random;0.9993044835497477
9;bpic2012_accepted;decision_tree;single_agg;processing_time;36.85081386566162;0
10;bpic2012_accepted;decision_tree;single_agg;criterion;entropy;0.9993403124215056
10;bpic2012_accepted;decision_tree;single_agg;max_features;0.8608206888585013;0.9993403124215056
10;bpic2012_accepted;decision_tree;single_agg;min_samples_split;0.36225268414495093;0.9993403124215056
10;bpic2012_accepted;decision_tree;single_agg;splitter;best;0.9993403124215056
10;bpic2012_accepted;decision_tree;single_agg;processing_time;37.819631814956665;0
11;bpic2012_accepted;decision_tree;single_agg;criterion;entropy;0.9993618164045429
11;bpic2012_accepted;decision_tree;single_agg;max_features;0.2497576186777959;0.9993618164045429
11;bpic2012_accepted;decision_tree;single_agg;min_samples_split;0.46572559166152494;0.9993618164045429
11;bpic2012_accepted;decision_tree;single_agg;splitter;best;0.9993618164045429
11;bpic2012_accepted;decision_tree;single_agg;processing_time;37.902153730392456;0
