Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;LINDA Precision;LINDA Recall;ACV Precision;ACV Recall;SHAP Correlation;LIME Correlation;ACV Correlation;LINDA Correlation;MAPE Correctness;RMSE Correctness;R2 Correctness
0;0;1.0;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5;0.3333333333333333;0.6403147623697703;0.1360157111244413;0.1892189081521491;0.2414773022003396;0.5883484054145522;0.5883484054145522;-0.5443310539518175
0;0;1.0;1.0;0.3333333333333333;1.0;0.3333333333333333;0.2222222222222222;0.6666666666666666;0.5;0.3333333333333333;0.6230089579813981;0.2511059282297378;0.2557266384293815;0.2317844984550385;0.2672612419124244;0.2672612419124244;-0.2672612419124244
1;0;1.0;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5;0.3333333333333333;0.6403147623697703;0.3661961453350343;0.1577491446148856;0.1259881576697424;0.5883484054145522;0.5883484054145522;-0.5443310539518175
0;0;1.0;1.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;0.5357154679137662;0.3111816818528856;0.42838437908735;0.2230430745963794;;;
0;0;1.0;1.0;0.5;1.0;0.5;0.1666666666666666;1.0;0.3333333333333333;0.5;0.5357154679137662;0.3111816818528856;0.5584829233384586;0.235788393144744;0.960768922830523;0.960768922830523;-1.0
0;0;1.0;1.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;0.5567239176358747;0.3238829749897381;0.3985341273666159;0.1591324072906569;0.6546536707079772;0.6546536707079772;-0.6546536707079772
0;0;1.0;1.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;0.5567239176358747;0.082558405389541;0.4434862353100133;0.2227853702069197;0.6546536707079772;0.6546536707079772;-0.6546536707079772
0;0;1.0;1.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;0.5357154679137662;0.3238829749897381;0.4360407996361904;0.2366113917836434;;;
0;0;1.0;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5;0.3333333333333333;0.6230089579813981;0.3557333983254619;0.2178780749918216;0.094820931186152;0.2672612419124244;0.2672612419124244;-0.2672612419124244
0;0;1.0;1.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;0.5357154679137662;0.2857790955791806;0.4078501935476653;0.1854521719385313;;;
0;0;1.0;1.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;0.5584829233384586;0.3111816818528856;0.4612256847224139;0.2227853702069197;0.6546536707079772;0.6546536707079772;-0.6546536707079772
0;0;1.0;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5;0.3333333333333333;0.6403147623697703;0.2406431812201654;0.3394673699166022;0.2844627935584563;0.5883484054145522;0.5883484054145522;-0.5443310539518175
0;0;1.0;1.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;0.5357154679137662;0.2095713367580657;0.4189411604347712;0.0573539334676404;0.6546536707079772;0.6546536707079772;-0.6546536707079772
0;0;1.0;1.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;0.5567239176358747;0.3238829749897381;0.4239724759219318;0.2110317818610874;0.6546536707079772;0.6546536707079772;-0.6546536707079772
0;0;1.0;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5;0.3333333333333333;0.6057031535930258;0.3557333983254619;0.1757499100654987;0.1791062033516206;0.5883484054145522;0.5883484054145522;-0.5443310539518175
0;0;1.0;1.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;0.5567239176358747;0.3111816818528856;0.46073139913031;0.1982419768998093;0.960768922830523;0.960768922830523;-1.0
0;0;1.0;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5;0.3333333333333333;0.6230089579813981;0.3557333983254619;0.107476300250388;0.26247532847863;0.2672612419124244;0.2672612419124244;-0.2672612419124244
0;0;1.0;1.0;0.5;1.0;0.5;0.0;0.0;0.3333333333333333;0.5;0.5567239176358747;0.3111816818528856;0.3313782822574781;0.2366113917836434;0.6546536707079772;0.6546536707079772;-0.6546536707079772
