Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation
Case100;0;1;1;0.58;1.0;1.0;0.9999999999999998;1.0;1.0;0.1362006759643593
Case135;1;1;0;0.6739130434782609;1.0;1.0;0.9999999999999998;1.0;1.0;0.1362006759643593
Case185;0;1;1;0.58;1.0;1.0;0.9999999999999998;1.0;1.0;0.1362006759643593
Case196;1;1;1;0.58;1.0;1.0;0.9999999999999998;1.0;1.0;0.1362006759643593
Case210;0;1;1;0.58;1.0;1.0;0.9999999999999998;1.0;1.0;0.1362006759643593
Case237;1;1;1;0.58;1.0;1.0;0.9999999999999998;1.0;1.0;0.1362006759643593
Case4;0;1;1;0.58;1.0;1.0;0.9999999999999998;1.0;1.0;0.1362006759643593
Case45;1;1;1;0.58;1.0;1.0;0.9999999999999998;1.0;1.0;0.1362006759643593
Case122_2;0;2;0;0.75;1.0;0.3333333333333333;0.992633517495396;1.0;0.6666666666666666;0.1806873201082678
Case185_2;0;2;0;0.75;1.0;0.3333333333333333;0.992633517495396;1.0;0.6666666666666666;0.1806873201082678
Case187_2;1;2;1;1.0;1.0;0.5;0.8086139348567658;1.0;1.0;0.1477342100713197
Case1_2;1;2;1;1.0;1.0;1.0;0.5789429626133168;0.5;1.0;0.1046076524101413
Case208_2;1;2;1;0.5507246376811594;1.0;0.3333333333333333;0.992633517495396;1.0;0.6666666666666666;0.1806873201082678
Case219_2;1;2;1;1.0;1.0;0.5;0.8086139348567658;1.0;1.0;0.1477342100713197
Case36_2;0;2;1;0.5507246376811594;1.0;0.3333333333333333;0.992633517495396;1.0;0.6666666666666666;0.1806873201082678
Case7_2;0;2;1;0.5507246376811594;1.0;0.3333333333333333;0.992633517495396;1.0;0.6666666666666666;0.1806873201082678
Case114_3;1;3;1;0.5555555555555556;1.0;0.2;0.4995550373511326;1.0;0.2;0.1966629935405228
Case153_3;0;3;0;1.0;1.0;0.16666666666666666;0.5444768148559406;1.0;0.16666666666666666;0.1885272443534949
Case194_3;1;3;1;0.6;1.0;0.09090909090909093;0.7304246456225243;1.0;0.09090909090909091;0.2625423299845916
Case250_3;0;3;0;0.875;1.0;0.16666666666666666;0.5474100232861409;1.0;0.16666666666666666;0.21527677034478324
Case46_3;0;3;1;0.6;1.0;0.09090909090909093;0.7233489970434686;1.0;0.09090909090909091;0.25852921311435245
Case69_3;0;3;0;1.0;1.0;0.16666666666666666;0.5466767211785909;1.0;0.16666666666666666;0.18710439722629874
Case82_3;1;3;1;0.75;1.0;0.16666666666666666;0.5437435127483905;1.0;0.16666666666666666;0.1421424280068992
Case92_3;1;3;1;0.5555555555555556;1.0;0.2;0.5019625315070416;1.0;0.2;0.1966629935405228
Case119_4;0;4;0;0.603448275862069;1.0;0.16666666666666666;0.990867579908676;1.0;0.16666666666666666;0.18889876347743279
Case198_4;1;4;1;0.8571428571428571;1.0;0.2;0.9046796493429112;1.0;0.2;0.17246694673696653
Case248_4;1;4;0;0.603448275862069;1.0;0.16666666666666666;0.990867579908676;1.0;0.16666666666666666;0.18889876347743279
Case249_4;1;4;0;0.7619047619047619;0.0;0.0;0.572096300516946;1.0;0.5;0.10873026405633357
Case55_4;1;4;0;0.603448275862069;1.0;0.16666666666666666;0.990867579908676;1.0;0.16666666666666666;0.18889876347743279
Case65_4;0;4;0;0.603448275862069;1.0;0.16666666666666666;0.990867579908676;1.0;0.16666666666666666;0.18889876347743279
Case71_4;0;4;0;0.603448275862069;1.0;0.16666666666666666;0.990867579908676;1.0;0.16666666666666666;0.18889876347743279
Case86_4;0;4;1;0.7692307692307693;1.0;0.16666666666666666;0.9898528665651952;1.0;0.16666666666666666;0.18889876347743279
Case129_5;0;5;0;0.7321428571428571;1.0;0.3333333333333333;0.996732026143791;1.0;0.3333333333333333;0.12067377834407818
Case248_5;1;5;0;0.7321428571428571;1.0;0.3333333333333333;0.996732026143791;1.0;0.3333333333333333;0.12067377834407818
Case250_5;0;5;1;0.6222222222222222;1.0;0.3333333333333333;0.996732026143791;1.0;0.3333333333333333;0.12067377834407818
Case256_5;1;5;0;0.7321428571428571;1.0;0.3333333333333333;0.996732026143791;1.0;0.3333333333333333;0.12067377834407818
Case263_5;0;5;0;0.7321428571428571;1.0;0.3333333333333333;0.996732026143791;1.0;0.3333333333333333;0.12067377834407818
Case27_5;0;5;1;0.6222222222222222;1.0;0.3333333333333333;0.996732026143791;1.0;0.3333333333333333;0.12067377834407818
Case37_5;1;5;1;0.6222222222222222;1.0;0.3333333333333333;0.996732026143791;1.0;0.3333333333333333;0.12067377834407818
Case54_5;1;5;1;0.9090909090909091;1.0;1.0;0.5780573732748211;0.0;0.0;0.06952886966616381
Case11_6;1;6;1;0.5443037974683544;1.0;0.5;0.997931747673216;1.0;0.5;0.09080360899589728
Case12_6;0;6;1;0.5443037974683544;1.0;0.5;0.997931747673216;1.0;0.5;0.09080360899589728
Case177_6;1;6;1;0.5443037974683544;1.0;0.5;0.997931747673216;1.0;0.5;0.09080360899589728
Case178_6;0;6;1;0.5443037974683544;1.0;0.5;0.997931747673216;1.0;0.5;0.09080360899589728
Case259_6;1;6;1;0.5443037974683544;1.0;0.5;0.997931747673216;1.0;0.5;0.09080360899589728
Case30_6;0;6;1;0.5443037974683544;1.0;0.5;0.997931747673216;1.0;0.5;0.09080360899589728
Case59_6;1;6;1;0.5443037974683544;1.0;0.5;0.997931747673216;1.0;0.5;0.09080360899589728
Case62_6;0;6;0;0.6956521739130435;1.0;0.5;0.997931747673216;1.0;0.5;0.09080360899589728
Case110_7;1;7;1;0.6714285714285714;1.0;0.3333333333333333;1.0;1.0;0.3333333333333333;0.10522432174533938
Case174_7;1;7;1;0.6714285714285714;1.0;0.3333333333333333;1.0;1.0;0.3333333333333333;0.10522432174533938
Case201_7;1;7;1;0.6714285714285714;1.0;0.3333333333333333;1.0;1.0;0.3333333333333333;0.10522432174533938
Case256_7;1;7;1;0.6714285714285714;1.0;0.3333333333333333;1.0;1.0;0.3333333333333333;0.10522432174533938
Case43_7;0;7;0;0.9333333333333333;1.0;1.0;0.5778865909673164;0.0;0.0;0.060657256836200345
Case4_7;0;7;1;0.6714285714285714;1.0;0.3333333333333333;1.0;1.0;0.3333333333333333;0.10522432174533938
Case58_7;0;7;0;1.0;1.0;0.5;0.8153589588243236;1.0;0.5;0.0859020395669595
Case99_7;0;7;0;1.0;1.0;0.5;0.8138420119241855;1.0;0.5;0.0859020395669595
Case195_8;0;8;1;0.6349206349206349;1.0;0.5;1.0;1.0;0.5;0.08158232432745219
Case209_8;0;8;1;0.6349206349206349;1.0;0.5;1.0;1.0;0.5;0.08158232432745219
Case229_8;0;8;0;0.8888888888888888;1.0;0.5;0.9983319432860718;1.0;0.5;0.08158232432745219
Case248_8;1;8;0;0.8888888888888888;1.0;0.5;0.9983319432860718;1.0;0.5;0.08158232432745219
Case277_8;1;8;1;0.6349206349206349;1.0;0.5;1.0;1.0;0.5;0.08158232432745219
Case4_8;0;8;1;0.6349206349206349;1.0;0.5;1.0;1.0;0.5;0.08158232432745219
Case59_8;1;8;1;0.6349206349206349;1.0;0.5;1.0;1.0;0.5;0.08158232432745219
Case95_8;1;8;1;0.6349206349206349;1.0;0.5;1.0;1.0;0.5;0.08158232432745219
Case188_9;1;9;1;1.0;1.0;0.16666666666666666;0.7064558138407826;1.0;0.16666666666666666;0.13645197485480726
Case192_9;0;9;0;1.0;1.0;0.125;0.8128607010223673;1.0;0.25;0.12610482258805492
Case215_9;0;9;0;1.0;1.0;0.3333333333333333;0.5012543214355387;0.5;0.3333333333333333;0.09620662156678694
Case245_9;1;9;0;1.0;1.0;0.16666666666666666;0.7043116653133517;1.0;0.3333333333333333;0.13336930641657302
Case264_9;1;9;1;1.0;1.0;0.16666666666666666;0.7064558138407826;1.0;0.16666666666666666;0.13645197485480726
Case265_9;0;9;0;1.0;1.0;0.5;0.4098638420491577;1.0;0.5;0.07875009228618628
Case6_9;1;9;0;1.0;1.0;0.125;0.8125374317040049;1.0;0.25;0.13648073364114888
Case84_9;0;9;0;1.0;1.0;0.5;0.4092188950121016;0.5;0.5;0.07887479552021032
Case102_10;1;10;0;0.7666666666666667;1.0;1.0;1.0;0.0;0.0;0.05320876094951051
Case178_10;0;10;1;0.6904761904761905;1.0;1.0;1.0;1.0;1.0;0.053360785980794835
Case18_10;1;10;1;0.6904761904761905;1.0;1.0;1.0;1.0;1.0;0.053360785980794835
Case206_10;1;10;0;0.7666666666666667;1.0;1.0;1.0;0.0;0.0;0.0530567359182262
Case252_10;0;10;0;0.7666666666666667;1.0;1.0;1.0;1.0;1.0;0.053360785980794835
Case256_10;1;10;1;0.6904761904761905;1.0;1.0;1.0;1.0;1.0;0.053360785980794835
Case265_10;0;10;0;0.7666666666666667;1.0;1.0;1.0;1.0;1.0;0.053360785980794835
Case40_10;0;10;1;0.6904761904761905;1.0;1.0;1.0;0.3333333333333333;1.0;0.0530567359182262
Case11_11;1;11;0;0.5849056603773585;1.0;1.0;1.0;1.0;1.0;0.05149347297571112
Case192_11;0;11;0;0.5849056603773585;1.0;1.0;1.0;1.0;1.0;0.05149347297571112
Case19_11;1;11;0;0.5849056603773585;1.0;1.0;1.0;1.0;1.0;0.05149347297571112
Case258_11;1;11;1;0.8461538461538461;1.0;1.0;1.0;1.0;1.0;0.05149347297571112
Case263_11;0;11;0;0.5849056603773585;1.0;1.0;1.0;1.0;1.0;0.05149347297571112
