Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;LIME Precision;LIME Recall;LIME Correlation;LINDA Precision;LINDA Recall;LINDA Correlation;SHAP Precision;SHAP Recall;SHAP Correlation
205433;0;1;0;0.6197286012534707;1.0;0.9999862434924158;0.9999862434924158;1.0;0.998944203236544;0.998944203236544;;1.0;1.0;;1.0;1.0;0.0;0.0;0.5932155873282869;0.0083333333333333;1.0;0.0;0.5;1.0;0.5043108967061884
206880;0;1;0;0.6246223650243334;1.0;0.9999858368892004;0.9999858368892004;1.0;0.9990648745468936;0.9990648745468936;;1.0;1.0;;1.0;1.0;0.0;0.0;0.6234931314830391;0.0083333333333333;1.0;0.0;0.5;1.0;0.4505680880134207
207014;1;1;0;0.6231606925500667;1.0;0.9999898519854812;0.9999898519854812;1.0;0.9987445166964944;0.9987445166964944;;1.0;1.0;;1.0;1.0;0.0;0.0;0.5887300252312868;0.0083333333333333;1.0;0.0;0.5;1.0;0.4273279545246562
208157;1;1;0;0.5846982149310337;1.0;0.9999902674222604;0.9999902674222604;1.0;0.9993745371695096;0.9993745371695096;;1.0;1.0;;1.0;1.0;0.0;0.0;0.6358284272497897;0.0083333333333333;1.0;0.0;0.5;1.0;0.4688696931358227
208613;1;1;0;0.5615290945666743;1.0;0.9999865406635848;0.9999865406635848;1.0;0.9991139251288156;0.9991139251288156;;1.0;1.0;;1.0;1.0;0.0;0.0;0.6187272217549762;0.0083333333333333;1.0;0.0;1.0;1.0;0.4502775863448111
209090;0;1;0;0.6259858368777202;1.0;0.9999892673055668;0.9999892673055668;1.0;0.9994814869393503;0.9994814869393503;;1.0;1.0;;1.0;1.0;0.0;0.0;0.6313428651527895;0.0083333333333333;1.0;0.0;0.5;1.0;0.47990875654298576
210857;0;1;0;0.5608410331524474;1.0;0.9999914823889116;0.9999914823889116;1.0;0.9994834433360928;0.9994834433360928;;1.0;1.0;;1.0;1.0;0.0;0.0;0.6366694701429774;0.0083333333333333;1.0;0.0;1.0;1.0;0.45666862305422135
213906;1;1;0;0.6171060669811855;1.0;0.999991729110434;0.999991729110434;1.0;0.9994978424315044;0.9994978424315044;;1.0;1.0;;1.0;1.0;0.0;0.0;0.6044294925707878;0.0083333333333333;1.0;0.0;0.5;1.0;0.4807802615488144
204565_11;0;11;1;0.6462156065643517;1.0;0.9999705235851024;0.9999705235851024;1.0;0.9997287172734038;0.9997287172734038;;1.0;1.0;;1.0;1.0;0.0;0.0;0.5674236052705355;0.0083333333333333;1.0;0.0;1.0;1.0;0.48484728490934825
204667_13;1;13;0;0.6980263405635885;1.0;0.9999886147411262;0.9999886147411262;0.9764558154135928;0.9981412934619176;0.9981412934619176;;1.0;1.0;;1.0;1.0;0.0;0.0;0.5267731987664704;0.0083333333333333;1.0;0.0;1.0;1.0;0.507215913392284
204703_12;1;12;0;0.6523915774708703;1.0;0.9999921650561108;0.9999921650561108;0.9268649439297904;0.9993483555092952;0.9993483555092952;;1.0;1.0;;1.0;1.0;0.0;0.0;0.5365853658536586;0.0083333333333333;1.0;0.0;0.5;1.0;0.5275510301949529
204724_7;0;7;0;0.6471888559821959;1.0;0.999992596065144;0.999992596065144;1.0;0.998241336512492;0.998241336512492;;1.0;1.0;;1.0;1.0;0.0;0.0;0.5419119708438463;0.025;1.0;0.0;1.0;0.3333333333333333;0.4828137732290813
204829_12;0;12;0;0.6094866011910012;1.0;0.9999867535295816;0.9999867535295816;0.8724489795918368;0.9994113192509588;0.9994113192509588;;1.0;1.0;;1.0;1.0;0.0;0.0;0.5346229324362209;0.0083333333333333;1.0;0.0;0.5;1.0;0.45521611471117357
204829_3;0;3;0;0.5831850431857151;1.0;0.9999886483261412;0.9999886483261412;1.0;0.9996456274984168;0.9996456274984168;;1.0;1.0;;1.0;1.0;0.0;0.0;0.5867675918138492;0.0083333333333333;1.0;0.0;1.0;1.0;0.5075064150608936
204847_8;0;8;0;0.6455904721109267;1.0;0.9999899150498036;0.9999899150498036;1.0;0.9995744091458504;0.9995744091458504;;1.0;1.0;;1.0;1.0;0.0;0.0;0.5606952621250351;0.0166666666666666;1.0;0.0;0.5;0.5;0.47467972650801377
204993_5;0;5;0;0.6291390931233797;1.0;0.9999901318673386;0.9999901318673386;1.0;0.9992259022914628;0.9992259022914628;;1.0;1.0;;1.0;1.0;0.0;0.0;0.5755536865713485;0.0083333333333333;1.0;0.0;0.5;1.0;0.4950148433106827
205026_3;0;3;0;0.6248557528298181;1.0;0.9999883344169496;0.9999883344169496;1.0;0.9969976359264788;0.9969976359264788;;1.0;1.0;;1.0;1.0;0.0;0.0;0.583403420241099;0.0083333333333333;1.0;0.0;0.5;1.0;0.49704835499094957
