Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;LINDA Precision;LINDA Recall;ACV Precision;ACV Recall;SHAP Correlation;LIME Correlation;ACV Correlation;LINDA Correlation;MAPE Correctness;RMSE Correctness;R2 Correctness
0;0;0.5303030303030303;1.0;0.3333333333333333;1.0;0.6666666666666666;1.0;0.3333333333333333;0.0;0.0;0.5233952441844397;0.4541341396153042;0.1848053177386432;0.2931013367432862;0.9259259259259258;0.9259259259259258;-0.97182531580755
0;0;0.8064516129032258;1.0;0.2;1.0;0.2;0.0;0.0;1.0;0.2;0.5423261445466404;0.4957403694797193;0.1366935298661441;-0.0889297291799887;0.7084919084320762;0.7084919084320762;-0.7084919084320762
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.2;1.0;1.0;0.25;0.4964795761850558;0.3121595890286832;0.116090865053143;0.0;0.648431430810784;0.648431430810784;-0.648431430810784
0;0;0.6785714285714286;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;1.0;0.3333333333333333;0.5443310539518174;0.3751542892474252;0.5931710140017394;0.0598684340089249;0.9259259259259258;0.9259259259259258;-0.9259259259259258
0;0;0.5952380952380952;1.0;0.25;1.0;0.25;1.0;0.25;0.5;0.25;0.5516439735389509;0.520265981714472;0.2153797646429592;0.4521466103285397;0.7481900559272088;0.7481900559272088;-0.7531446678801507
1;0;0.72;1.0;0.25;1.0;0.25;0.0;0.0;1.0;0.75;0.5516439735389509;0.5029237823239896;0.4905114715879726;0.2065932622669707;0.5209880722517276;0.5209880722517276;-0.5209880722517276
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.0;0.0;1.0;0.25;0.4964795761850558;0.3295017884191656;0.5209880722517276;0.1106566670344976;0.648431430810784;0.648431430810784;-0.648431430810784
0;0;0.94;1.0;0.2;1.0;0.2;0.25;1.0;1.0;0.2;0.5423261445466404;0.4485270009578413;0.0449892811747405;0.0;0.6597682302498802;0.6597682302498802;-0.6597682302498802
0;0;0.7457627118644068;1.0;0.1666666666666666;0.0;0.0;1.0;0.1666666666666666;0.0;0.0;0.5952916290381487;0.3572742220621758;0.0;0.1163105262998088;0.7111952812139224;0.7111952812139224;-0.7111952812139224
1;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.5177436641142894;0.4683635861785095;0.6196081784896768;0.2772038858097058;0.7677858787011463;0.7677858787011463;-0.8012699563673528
0;0;0.6666666666666666;1.0;0.3333333333333333;1.0;0.3333333333333333;0.15;1.0;1.0;0.3333333333333333;0.4815236246496846;0.4936240647992437;0.5931710140017394;0.0;0.7830153977496951;0.7830153977496951;-0.7830153977496951
1;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.6666666666666666;1.0;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.5177436641142894;0.4683635861785095;0.3753405162577763;0.2741575967852043;0.7677858787011463;0.7677858787011463;-0.8012699563673528
0;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.5177436641142894;0.4882939515478077;0.647658795003151;0.2538496266529669;0.7677858787011463;0.7677858787011463;-0.8012699563673528
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.0;0.0;1.0;0.25;0.5332558410876526;0.3295017884191656;0.2542036440668698;0.1224563736306461;0.648431430810784;0.648431430810784;-0.648431430810784
1;0;0.7837837837837838;1.0;0.25;1.0;0.5;1.0;0.25;1.0;0.5;0.5332558410876526;0.520265981714472;0.2420527044964974;0.1669624145622237;0.3564655231196031;0.3564655231196031;-0.3564655231196031
0;0;0.94;1.0;0.2;1.0;0.2;0.0;0.0;1.0;0.2;0.5590131028403833;0.4485270009578413;0.4727889717037675;0.081527458486114;0.6597682302498802;0.6597682302498802;-0.6597682302498802
