Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;LINDA Precision;LINDA Recall
1;0;0.5966386554621849;1.0;0.5;1.0;0.5;0.0;0.0
0;0;0.5303030303030303;1.0;0.6666666666666666;1.0;0.6666666666666666;1.0;0.3333333333333333
0;0;0.8032786885245902;1.0;0.1666666666666666;1.0;0.1666666666666666;0.0;0.0
0;0;0.7457627118644068;1.0;0.1666666666666666;0.6666666666666666;0.3333333333333333;1.0;0.1666666666666666
1;0;0.5966386554621849;1.0;0.5;1.0;0.5;0.0;0.0
0;0;0.72;1.0;0.25;1.0;0.25;0.0;0.0
1;0;0.6091954022988506;1.0;0.5;1.0;0.5;1.0;0.25
1;0;0.5952380952380952;1.0;0.25;1.0;0.25;1.0;0.25
1;0;0.5128205128205128;1.0;0.25;1.0;0.5;0.0;0.0
0;0;0.7457627118644068;1.0;0.3333333333333333;1.0;0.1666666666666666;1.0;0.1666666666666666
0;0;0.5303030303030303;1.0;0.6666666666666666;1.0;0.3333333333333333;1.0;0.3333333333333333
1;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.0;0.0
0;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.6666666666666666;0.15;1.0
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.0;0.0
0;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.6666666666666666;1.0;0.3333333333333333
0;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.6666666666666666;1.0;0.3333333333333333
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.0;0.0
0;0;0.5128205128205128;1.0;0.5;1.0;0.5;1.0;0.25
0;0;0.9245283018867924;1.0;1.0;1.0;0.5;0.0;0.0
0;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333
0;0;0.9245283018867924;1.0;1.0;1.0;0.5;0.0;0.0
1;0;0.5128205128205128;1.0;0.25;1.0;0.5;0.0;0.0
1;0;0.9;1.0;0.2;1.0;0.4;0.0;0.0
0;0;0.6666666666666666;1.0;0.3333333333333333;1.0;0.3333333333333333;0.15;1.0
0;0;0.8913043478260869;1.0;0.1666666666666666;1.0;0.1666666666666666;0.0;0.0
0;0;0.8032786885245902;1.0;0.1666666666666666;1.0;0.1666666666666666;0.0;0.0
1;0;0.8032786885245902;1.0;0.1666666666666666;0.3333333333333333;0.1666666666666666;0.0;0.0
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.2;1.0
1;0;0.7837837837837838;1.0;0.5;1.0;0.25;1.0;0.25
0;0;0.94;1.0;0.2;1.0;0.2;0.25;1.0
0;0;0.8064516129032258;1.0;0.2;1.0;0.2;0.0;0.0
0;0;0.5128205128205128;1.0;0.25;1.0;0.5;0.0;0.0
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.2;1.0
1;0;0.8913043478260869;1.0;0.1666666666666666;1.0;0.1666666666666666;0.0;0.0
0;0;0.8032786885245902;1.0;0.1666666666666666;0.3333333333333333;0.1666666666666666;0.0;0.0
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.0;0.0
1;0;0.65625;1.0;0.2;1.0;0.2;0.0;0.0
0;0;0.94;1.0;0.2;1.0;0.2;0.0;0.0
0;0;0.94;1.0;0.2;1.0;0.2;0.0;0.0
0;0;0.5357142857142857;1.0;0.1666666666666666;1.0;0.1666666666666666;1.0;0.1666666666666666
0;0;0.6091954022988506;1.0;0.25;1.0;0.5;1.0;0.25
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.0;0.0
0;0;0.5952380952380952;1.0;0.25;1.0;0.5;1.0;0.25
1;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.6666666666666666;1.0;0.3333333333333333
0;0;0.94;1.0;0.2;1.0;0.2;0.0;0.0
0;0;0.5952380952380952;1.0;0.25;1.0;0.25;1.0;0.25
0;0;0.5303030303030303;1.0;0.6666666666666666;1.0;0.6666666666666666;1.0;0.3333333333333333
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.2;1.0
0;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.3333333333333333;0.15;1.0
0;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.3333333333333333;0.15;1.0
0;0;0.6785714285714286;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0
1;0;0.8796296296296297;1.0;0.3333333333333333;1.0;0.6666666666666666;1.0;0.3333333333333333
0;0;0.9245283018867924;1.0;0.5;1.0;0.5;0.0;0.0
0;0;0.5357142857142857;1.0;0.3333333333333333;0.75;0.5;1.0;0.1666666666666666
0;0;0.65625;1.0;0.2;1.0;0.2;0.0;0.0
0;0;0.94;1.0;0.2;1.0;0.2;0.0;0.0
0;0;0.8888888888888888;1.0;0.5;1.0;0.25;1.0;0.25
1;0;0.65625;1.0;0.2;1.0;0.2;0.0;0.0
1;0;0.7837837837837838;1.0;0.25;1.0;0.5;1.0;0.25
0;0;0.7457627118644068;1.0;0.1666666666666666;1.0;0.1666666666666666;1.0;0.1666666666666666
1;0;0.6091954022988506;1.0;0.5;1.0;0.5;1.0;0.25
0;0;0.9918032786885246;1.0;0.25;1.0;0.25;0.0;0.0
0;0;0.6785714285714286;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0
0;0;0.7457627118644068;1.0;0.1666666666666666;1.0;0.1666666666666666;1.0;0.1666666666666666
1;0;0.8032786885245902;1.0;0.1666666666666666;0.3333333333333333;0.1666666666666666;0.0;0.0
0;0;0.94;1.0;0.2;1.0;0.2;0.25;1.0
0;0;0.9245283018867924;1.0;1.0;1.0;0.5;0.0;0.0
