Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation;LINDA Precision;LINDA Recall;LINDA Correlation
Case114;1;1;1;0.9995524985686222;0.3651055408970976;0.911612656673853;0.911612656673853;0.8952380952380953;0.984690966356111;0.984690966356111;;1.0;1.0;;1.0;1.0;1.0;1.0;0.3248475566602153;0.0;0.0;0.7775029634160605;0.006493506493506494;1.0;0.0
Case116;1;1;1;1.0;0.3052821522309712;0.9528669172904636;0.9528669172904636;0.8942035208243881;0.9839802934890792;0.9839802934890792;;1.0;1.0;;1.0;1.0;1.0;1.0;0.4446276082562805;0.0;0.0;0.8015774939481547;0.006493506493506494;1.0;0.0
Case12;0;1;0;0.9999999999995736;1.0;0.9671736476739896;0.9671736476739896;0.903815458923788;0.8678667361850387;0.8678667361850387;;1.0;1.0;;1.0;1.0;1.0;1.0;0.4400552940688559;0.0;0.0;0.7814338690731971;0.006493506493506494;1.0;0.0
Case136;0;1;1;0.9999999999999716;0.4522914337973785;0.9071588118410217;0.9071588118410217;0.9179501022959764;0.9816724954377964;0.9816724954377964;;1.0;1.0;;1.0;1.0;1.0;1.0;0.3782121060524982;0.0;0.0;0.7166985834141244;0.006493506493506494;1.0;0.0
Case163;1;1;1;1.0;0.6842191601049868;0.9667398586781222;0.9667398586781222;0.8379970544918999;0.9805529588761468;0.9805529588761468;;1.0;1.0;;1.0;1.0;1.0;1.0;0.44225976992900995;0.0;0.0;0.7175654540178323;0.006493506493506494;1.0;0.0
Case253;1;1;1;0.9999999999965326;0.4466403162055336;0.9664127485749321;0.9664127485749321;0.9802564102564104;0.9811500910977988;0.9811500910977988;;1.0;1.0;;1.0;1.0;1.0;1.0;0.35672256396279345;0.0;0.0;0.7463627504566959;0.006493506493506494;1.0;0.0
Case263;0;1;0;1.0;1.0;0.9823201547006304;0.9823201547006304;0.9674377299446021;0.980940926718514;0.980940926718514;;1.0;1.0;;1.0;1.0;1.0;1.0;0.4165249441437681;0.0;0.0;0.7375312656146479;0.006493506493506494;1.0;0.0
Case84;0;1;0;1.0;1.0;0.9792736775089456;0.9792736775089456;0.8772321428571429;0.9813571775249559;0.9813571775249559;;1.0;1.0;;1.0;1.0;1.0;1.0;0.3662188326958211;0.2;1.0;0.7958323997064991;0.006493506493506494;1.0;0.0
Case126_2;1;2;1;1.0;0.6844021065675341;-0.32406852028667266;-0.32406852028667266;0.9129172009169678;0.9796289528200628;0.9796289528200628;;1.0;1.0;;1.0;1.0;1.0;1.0;0.27019200250648623;0.0;0.0;0.6574108008358337;0.006134969325153374;1.0;0.0
Case129_2;0;2;0;1.0;0.8320972393901936;-0.16981725507458778;-0.16981725507458778;0.8240322089006299;0.9564507983004378;0.9564507983004378;;1.0;1.0;;1.0;1.0;1.0;1.0;0.1979269869327657;0.0;0.0;0.6431661895188078;0.006134969325153374;1.0;0.0
