Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;LINDA Precision;LINDA Recall;ACV Precision;ACV Recall;LIME SRCC;LIME KT-C;LIME KT-B;ACV SRCC;ACV KT-C;ACV KT-B;LINDA SRCC;LINDA KT-C;LINDA KT-B;SHAP SRCC;SHAP KT-C;SHAP KT-B;MAPE Correctness
0;0;0.6666666666666666;1.0;0.25;1.0;0.25;1.0;0.5;0.5;0.25;0.4439280032528609;0.3125;0.6813851438692469;0.1162476387438192;0.125;-0.2132007163556104;0.6214992045540053;0.46875;0.40291148201269017;0.5997122939864165;0.390625;0.4103049699311091;0.4139186771923578
1;0;0.6666666666666666;1.0;0.5;1.0;0.5;0.0;0.0;0.5;0.25;0.7356521196761695;0.546875;0.6813851438692469;0.2324952774876385;0.25;0.2132007163556104;0.4819789749602489;0.390625;0.3223291856101521;0.8038696706626434;0.625;0.5744269579035527;0.4139186771923578
1;0;0.8;1.0;0.25;1.0;0.25;0.5;0.25;1.0;0.5;0.8117540630909458;0.625;0.21428571428571427;0.9004503377814963;0.9375;0.8257228238447704;-0.1648875440653483;-0.15625;-0.16116459280507606;0.7655901625358508;0.546875;0.6564879518897745;0.08058229640253801
0;0;0.9411764705882352;1.0;0.6666666666666666;1.0;0.3333333333333333;0.2857142857142857;0.6666666666666666;0.5;0.3333333333333333;0.7637626158259734;0.5;0.4999999999999999;0.7499999999999999;0.75;0.7071067811865476;-0.5182674893104818;-0.4166666666666667;-0.5345224838248488;0.7957908849252548;0.5833333333333334;0.5443310539518174;0.2672612419124244
0;0;0.9411764705882352;1.0;0.6666666666666666;1.0;0.3333333333333333;0.375;1.0;1.0;0.6666666666666666;0.7637626158259734;0.5;0.4999999999999999;0.968245836551854;0.9375;0.9128709291752768;0.0;0.0;0.0;0.7957908849252548;0.5833333333333334;0.5443310539518174;0.2672612419124244
0;0;0.6666666666666666;1.0;0.25;1.0;0.5;1.0;0.5;0.5;0.25;0.5707645756108212;0.390625;0.6813851438692469;-0.4202101576313649;-0.4375;-0.27524094128159016;0.5327136039034331;0.390625;0.3223291856101521;0.7273106544090582;0.546875;0.5744269579035527;0.4139186771923578
0;0;0.8;1.0;0.25;1.0;0.25;0.5;0.25;1.0;0.5;0.7102848052045776;0.46875;0.21428571428571427;0.2401200900750657;0.25;0.3302891295379082;-0.0510393441690567;-0.0390625;-0.12309149097933275;0.7911098346203791;0.625;0.5744269579035527;0.08058229640253801
0;0;0.9411764705882352;1.0;0.6666666666666666;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.6666666666666666;0.7637626158259734;0.5;0.4999999999999999;0.968245836551854;0.9375;0.9128709291752768;-0.1363861813974952;-0.0833333333333333;0.0;0.7957908849252548;0.5833333333333334;0.6350528962771202;0.2672612419124244
0;0;0.9411764705882352;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5;0.3333333333333333;0.6273764344284781;0.4166666666666667;0.4999999999999999;0.1249999999999999;0.125;0.11785113019775792;-0.4364357804719848;-0.3333333333333333;-0.3563483225498992;0.8506730149201001;0.6666666666666666;0.7257747386024233;0.2672612419124244
1;0;0.8;1.0;0.25;1.0;0.25;0.0;0.0;0.5;0.5;0.6849174907329854;0.390625;0.07142857142857142;0.8053872662568291;0.75;0.7385489458759965;-0.4566116604886569;-0.3125;-0.2417468892076141;0.7911098346203791;0.625;0.492365963917331;0.08058229640253801
