"Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability";MAPE Correctness;RMSE Correctness;R2 Correctness;Mode;"Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability"
"205418.0;0.0;1.0;0.0;0.5298816318359665;1.0;0.9995676499606722;0.9995676499606722;1.0;0.9999929986613246;0.9999929986613246;;1.0;1.0;;1.0;1.0";0.848528137423857;0.848528137423857;-0.848528137423857;baseline_0;
"205794.0;0.0;1.0;0.0;0.6367186607102878;1.0;0.999534308349978;0.999534308349978;0.6343085106382979;0.9999147730502522;0.9999147730502522;;1.0;1.0;;1.0;1.0";0.5185449728701348;0.5185449728701348;-0.5185449728701348;baseline_0;
"206763.0;0.0;1.0;0.0;0.5356730417985979;1.0;0.9997144364123072;0.9997144364123072;1.0;0.9999682808921028;0.9999682808921028;;1.0;1.0;;1.0;1.0";0.565685424949238;0.565685424949238;-0.565685424949238;baseline_0;
"206937.0;1.0;1.0;0.0;0.5237535024752266;1.0;0.9998605473666746;0.9998605473666746;1.0;0.9985346571409078;0.9985346571409078;;1.0;1.0;;1.0;1.0";0.6128258770283411;0.6128258770283411;-0.6128258770283411;baseline_0;
"209341.0;0.0;1.0;0.0;0.5250415360557206;1.0;0.999625760887582;0.999625760887582;1.0;0.99996169923711;0.99996169923711;;1.0;1.0;;1.0;1.0";0.7777777777777777;0.7777777777777777;-0.816496580927726;baseline_0;
"209571.0;1.0;1.0;0.0;0.5654649451909738;1.0;0.9996437361274384;0.9996437361274384;0.7805851063829787;0.9999728639875816;0.9999728639875816;;1.0;1.0;;1.0;1.0";0.8222222222222221;0.8222222222222221;-0.816496580927726;baseline_0;
"210401.0;1.0;1.0;0.0;0.5115753393346313;1.0;0.9998221956133588;0.9998221956133588;1.0;0.9999787768709024;0.9999787768709024;;1.0;1.0;;1.0;1.0";0.6888888888888888;0.6888888888888888;-0.816496580927726;baseline_0;
"211335.0;1.0;1.0;0.0;0.6300204943509193;1.0;0.9998033673533124;0.9998033673533124;1.0;0.9999828748354608;0.9999828748354608;;1.0;1.0;;1.0;1.0";0.4714045207910317;0.4714045207910317;-0.5443310539518174;baseline_0;
"205418.0;0.0;1.0;0.0;0.5298816318359665;1.0;0.9995676499606722;0.9995676499606722;1.0;0.9999929986613246;0.9999929986613246;;1.0;1.0;;1.0;1.0";0.848528137423857;0.848528137423857;-0.848528137423857;baseline_0;
"205794.0;0.0;1.0;0.0;0.6367186607102878;1.0;0.999534308349978;0.999534308349978;0.6343085106382979;0.9999147730502522;0.9999147730502522;;1.0;1.0;;1.0;1.0";0.5185449728701348;0.5185449728701348;-0.5185449728701348;baseline_0;
"206763.0;0.0;1.0;0.0;0.5356730417985979;1.0;0.9997144364123072;0.9997144364123072;1.0;0.9999682808921028;0.9999682808921028;;1.0;1.0;;1.0;1.0";0.565685424949238;0.565685424949238;-0.565685424949238;baseline_0;
"206937.0;1.0;1.0;0.0;0.5237535024752266;1.0;0.9998605473666746;0.9998605473666746;1.0;0.9985346571409078;0.9985346571409078;;1.0;1.0;;1.0;1.0";0.6128258770283411;0.6128258770283411;-0.6128258770283411;baseline_0;
"209341.0;0.0;1.0;0.0;0.5250415360557206;1.0;0.999625760887582;0.999625760887582;1.0;0.99996169923711;0.99996169923711;;1.0;1.0;;1.0;1.0";0.7777777777777777;0.7777777777777777;-0.816496580927726;baseline_0;
"209571.0;1.0;1.0;0.0;0.5654649451909738;1.0;0.9996437361274384;0.9996437361274384;0.7805851063829787;0.9999728639875816;0.9999728639875816;;1.0;1.0;;1.0;1.0";0.8222222222222221;0.8222222222222221;-0.816496580927726;baseline_0;
"210401.0;1.0;1.0;0.0;0.5115753393346313;1.0;0.9998221956133588;0.9998221956133588;1.0;0.9999787768709024;0.9999787768709024;;1.0;1.0;;1.0;1.0";0.6888888888888888;0.6888888888888888;-0.816496580927726;baseline_0;
"211335.0;1.0;1.0;0.0;0.6300204943509193;1.0;0.9998033673533124;0.9998033673533124;1.0;0.9999828748354608;0.9999828748354608;;1.0;1.0;;1.0;1.0";0.4714045207910317;0.4714045207910317;-0.5443310539518174;baseline_0;
"205418.0;0.0;1.0;0.0;0.5298816318359665;1.0;0.9995676499606722;0.9995676499606722;1.0;0.9999929986613246;0.9999929986613246;;1.0;1.0;;1.0;1.0";0.848528137423857;0.848528137423857;-0.848528137423857;baseline_0;
"205794.0;0.0;1.0;0.0;0.6367186607102878;1.0;0.999534308349978;0.999534308349978;0.6343085106382979;0.9999147730502522;0.9999147730502522;;1.0;1.0;;1.0;1.0";0.5185449728701348;0.5185449728701348;-0.5185449728701348;baseline_0;
"206763.0;0.0;1.0;0.0;0.5356730417985979;1.0;0.9997144364123072;0.9997144364123072;1.0;0.9999682808921028;0.9999682808921028;;1.0;1.0;;1.0;1.0";0.565685424949238;0.565685424949238;-0.565685424949238;baseline_0;
"206937.0;1.0;1.0;0.0;0.5237535024752266;1.0;0.9998605473666746;0.9998605473666746;1.0;0.9985346571409078;0.9985346571409078;;1.0;1.0;;1.0;1.0";0.6128258770283411;0.6128258770283411;-0.6128258770283411;baseline_0;
"209341.0;0.0;1.0;0.0;0.5250415360557206;1.0;0.999625760887582;0.999625760887582;1.0;0.99996169923711;0.99996169923711;;1.0;1.0;;1.0;1.0";0.7777777777777777;0.7777777777777777;-0.816496580927726;baseline_0;
"209571.0;1.0;1.0;0.0;0.5654649451909738;1.0;0.9996437361274384;0.9996437361274384;0.7805851063829787;0.9999728639875816;0.9999728639875816;;1.0;1.0;;1.0;1.0";0.8222222222222221;0.8222222222222221;-0.816496580927726;baseline_0;
"210401.0;1.0;1.0;0.0;0.5115753393346313;1.0;0.9998221956133588;0.9998221956133588;1.0;0.9999787768709024;0.9999787768709024;;1.0;1.0;;1.0;1.0";0.6888888888888888;0.6888888888888888;-0.816496580927726;baseline_0;
"211335.0;1.0;1.0;0.0;0.6300204943509193;1.0;0.9998033673533124;0.9998033673533124;1.0;0.9999828748354608;0.9999828748354608;;1.0;1.0;;1.0;1.0";0.4714045207910317;0.4714045207910317;-0.5443310539518174;baseline_0;
"205418.0;0.0;1.0;0.0;0.5298816318359665;1.0;0.9995676499606722;0.9995676499606722;1.0;0.9999929986613246;0.9999929986613246;;1.0;1.0;;1.0;1.0";0.848528137423857;0.848528137423857;-0.848528137423857;baseline_0;
"205794.0;0.0;1.0;0.0;0.6367186607102878;1.0;0.999534308349978;0.999534308349978;0.6343085106382979;0.9999147730502522;0.9999147730502522;;1.0;1.0;;1.0;1.0";0.5185449728701348;0.5185449728701348;-0.5185449728701348;baseline_0;
"206763.0;0.0;1.0;0.0;0.5356730417985979;1.0;0.9997144364123072;0.9997144364123072;1.0;0.9999682808921028;0.9999682808921028;;1.0;1.0;;1.0;1.0";0.565685424949238;0.565685424949238;-0.565685424949238;baseline_0;
"206937.0;1.0;1.0;0.0;0.5237535024752266;1.0;0.9998605473666746;0.9998605473666746;1.0;0.9985346571409078;0.9985346571409078;;1.0;1.0;;1.0;1.0";0.6128258770283411;0.6128258770283411;-0.6128258770283411;baseline_0;
"209341.0;0.0;1.0;0.0;0.5250415360557206;1.0;0.999625760887582;0.999625760887582;1.0;0.99996169923711;0.99996169923711;;1.0;1.0;;1.0;1.0";0.7777777777777777;0.7777777777777777;-0.816496580927726;baseline_0;
"209571.0;1.0;1.0;0.0;0.5654649451909738;1.0;0.9996437361274384;0.9996437361274384;0.7805851063829787;0.9999728639875816;0.9999728639875816;;1.0;1.0;;1.0;1.0";0.8222222222222221;0.8222222222222221;-0.816496580927726;baseline_0;
"210401.0;1.0;1.0;0.0;0.5115753393346313;1.0;0.9998221956133588;0.9998221956133588;1.0;0.9999787768709024;0.9999787768709024;;1.0;1.0;;1.0;1.0";0.6888888888888888;0.6888888888888888;-0.816496580927726;baseline_0;
"211335.0;1.0;1.0;0.0;0.6300204943509193;1.0;0.9998033673533124;0.9998033673533124;1.0;0.9999828748354608;0.9999828748354608;;1.0;1.0;;1.0;1.0";0.4714045207910317;0.4714045207910317;-0.5443310539518174;baseline_0;
"205418.0;0.0;1.0;0.0;0.5298816318359665;1.0;0.9995676499606722;0.9995676499606722;1.0;0.9999929986613246;0.9999929986613246;;1.0;1.0;;1.0;1.0";0.848528137423857;0.848528137423857;-0.848528137423857;baseline_0;
"205794.0;0.0;1.0;0.0;0.6367186607102878;1.0;0.999534308349978;0.999534308349978;0.6343085106382979;0.9999147730502522;0.9999147730502522;;1.0;1.0;;1.0;1.0";0.5185449728701348;0.5185449728701348;-0.5185449728701348;baseline_0;
"206763.0;0.0;1.0;0.0;0.5356730417985979;1.0;0.9997144364123072;0.9997144364123072;1.0;0.9999682808921028;0.9999682808921028;;1.0;1.0;;1.0;1.0";0.565685424949238;0.565685424949238;-0.565685424949238;baseline_0;
"206937.0;1.0;1.0;0.0;0.5237535024752266;1.0;0.9998605473666746;0.9998605473666746;1.0;0.9985346571409078;0.9985346571409078;;1.0;1.0;;1.0;1.0";0.6128258770283411;0.6128258770283411;-0.6128258770283411;baseline_0;
"209341.0;0.0;1.0;0.0;0.5250415360557206;1.0;0.999625760887582;0.999625760887582;1.0;0.99996169923711;0.99996169923711;;1.0;1.0;;1.0;1.0";0.7777777777777777;0.7777777777777777;-0.816496580927726;baseline_0;
"209571.0;1.0;1.0;0.0;0.5654649451909738;1.0;0.9996437361274384;0.9996437361274384;0.7805851063829787;0.9999728639875816;0.9999728639875816;;1.0;1.0;;1.0;1.0";0.8222222222222221;0.8222222222222221;-0.816496580927726;baseline_0;
"210401.0;1.0;1.0;0.0;0.5115753393346313;1.0;0.9998221956133588;0.9998221956133588;1.0;0.9999787768709024;0.9999787768709024;;1.0;1.0;;1.0;1.0";0.6888888888888888;0.6888888888888888;-0.816496580927726;baseline_0;
"211335.0;1.0;1.0;0.0;0.6300204943509193;1.0;0.9998033673533124;0.9998033673533124;1.0;0.9999828748354608;0.9999828748354608;;1.0;1.0;;1.0;1.0";0.4714045207910317;0.4714045207910317;-0.5443310539518174;baseline_0;
"205179_2;0;2;0;0.8228469099727626;1.0;0.9555156949182142;0.9555156949182142;0.6703296703296706;0.9879420959800252;0.9879420959800252;;1.0;1.0;;1.0;1.0";0.708377979973663;0.708377979973663;-0.708377979973663;baseline_0;
"205424_2;1;2;0;0.5330579620213505;1.0;0.9689101378417552;0.9689101378417552;0.6647509578544064;0.996085891483404;0.996085891483404;;1.0;1.0;;1.0;1.0";0.626416891381669;0.626416891381669;-0.626416891381669;baseline_0;
"207041_2;0;2;0;0.5996800871041754;1.0;0.9786879515791428;0.9786879515791428;0.5367647058823529;0.9814087848166936;0.9814087848166936;;1.0;1.0;;1.0;1.0";0.5754189944134078;0.5754189944134078;-0.5754189944134078;baseline_0;
"212875_2;1;2;0;0.7919149216054296;1.0;0.9827075249864512;0.9827075249864512;0.5687294633077765;0.9976222413546816;0.9976222413546816;;1.0;1.0;;1.0;1.0";0.4345579474560562;0.4345579474560562;-0.4345579474560562;baseline_0;
"212983_2;0;2;1;0.5350745982980865;1.0;0.9685939368180884;0.9685939368180884;0.8118279569892473;0.9966087660503842;0.9966087660503842;;1.0;1.0;1.0;1.0;1.0";0.6871508379888268;0.6871508379888268;-0.6871508379888268;baseline_0;
"213085_2;0;2;0;0.8375199091124113;1.0;0.9751460524665312;0.9751460524665312;0.5501835985312116;0.9811398354633492;0.9811398354633492;;1.0;1.0;;1.0;1.0";0.4014295016794761;0.4014295016794761;-0.4014295016794761;baseline_0;
"213459_2;1;2;0;0.5544268720946615;1.0;0.9770436867524518;0.9770436867524518;0.6313202247191012;0.992996762200905;0.992996762200905;;1.0;1.0;;1.0;1.0";0.5093296219645346;0.5093296219645346;-0.5093296219645346;baseline_0;
"213675_2;1;2;0;0.5483900181839326;1.0;0.9471665086019964;0.9471665086019964;0.6313202247191012;0.9955323512989104;0.9955323512989104;;1.0;1.0;;1.0;1.0";0.6536312849162011;0.6536312849162011;-0.6536312849162011;baseline_0;
"205179_2;0;2;0;0.8228469099727626;1.0;0.9555156949182142;0.9555156949182142;0.6703296703296706;0.9879420959800252;0.9879420959800252;;1.0;1.0;;1.0;1.0";0.708377979973663;0.708377979973663;-0.708377979973663;baseline_0;
"205424_2;1;2;0;0.5330579620213505;1.0;0.9689101378417552;0.9689101378417552;0.6647509578544064;0.996085891483404;0.996085891483404;;1.0;1.0;;1.0;1.0";0.626416891381669;0.626416891381669;-0.626416891381669;baseline_0;
"207041_2;0;2;0;0.5996800871041754;1.0;0.9786879515791428;0.9786879515791428;0.5367647058823529;0.9814087848166936;0.9814087848166936;;1.0;1.0;;1.0;1.0";0.5754189944134078;0.5754189944134078;-0.5754189944134078;baseline_0;
"212875_2;1;2;0;0.7919149216054296;1.0;0.9827075249864512;0.9827075249864512;0.5687294633077765;0.9976222413546816;0.9976222413546816;;1.0;1.0;;1.0;1.0";0.4345579474560562;0.4345579474560562;-0.4345579474560562;baseline_0;
"212983_2;0;2;1;0.5350745982980865;1.0;0.9685939368180884;0.9685939368180884;0.8118279569892473;0.9966087660503842;0.9966087660503842;;1.0;1.0;1.0;1.0;1.0";0.6871508379888268;0.6871508379888268;-0.6871508379888268;baseline_0;
"213085_2;0;2;0;0.8375199091124113;1.0;0.9751460524665312;0.9751460524665312;0.5501835985312116;0.9811398354633492;0.9811398354633492;;1.0;1.0;;1.0;1.0";0.4014295016794761;0.4014295016794761;-0.4014295016794761;baseline_0;
"213459_2;1;2;0;0.5544268720946615;1.0;0.9770436867524518;0.9770436867524518;0.6313202247191012;0.992996762200905;0.992996762200905;;1.0;1.0;;1.0;1.0";0.5093296219645346;0.5093296219645346;-0.5093296219645346;baseline_0;
"213675_2;1;2;0;0.5483900181839326;1.0;0.9471665086019964;0.9471665086019964;0.6313202247191012;0.9955323512989104;0.9955323512989104;;1.0;1.0;;1.0;1.0";0.6536312849162011;0.6536312849162011;-0.6536312849162011;baseline_0;
"205179_2;0;2;0;0.8228469099727626;1.0;0.9555156949182142;0.9555156949182142;0.6703296703296706;0.9879420959800252;0.9879420959800252;;1.0;1.0;;1.0;1.0";0.708377979973663;0.708377979973663;-0.708377979973663;baseline_0;
"205424_2;1;2;0;0.5330579620213505;1.0;0.9689101378417552;0.9689101378417552;0.6647509578544064;0.996085891483404;0.996085891483404;;1.0;1.0;;1.0;1.0";0.626416891381669;0.626416891381669;-0.626416891381669;baseline_0;
"207041_2;0;2;0;0.5996800871041754;1.0;0.9786879515791428;0.9786879515791428;0.5367647058823529;0.9814087848166936;0.9814087848166936;;1.0;1.0;;1.0;1.0";0.5754189944134078;0.5754189944134078;-0.5754189944134078;baseline_0;
"212875_2;1;2;0;0.7919149216054296;1.0;0.9827075249864512;0.9827075249864512;0.5687294633077765;0.9976222413546816;0.9976222413546816;;1.0;1.0;;1.0;1.0";0.4345579474560562;0.4345579474560562;-0.4345579474560562;baseline_0;
"212983_2;0;2;1;0.5350745982980865;1.0;0.9685939368180884;0.9685939368180884;0.8118279569892473;0.9966087660503842;0.9966087660503842;;1.0;1.0;1.0;1.0;1.0";0.6871508379888268;0.6871508379888268;-0.6871508379888268;baseline_0;
"213085_2;0;2;0;0.8375199091124113;1.0;0.9751460524665312;0.9751460524665312;0.5501835985312116;0.9811398354633492;0.9811398354633492;;1.0;1.0;;1.0;1.0";0.4014295016794761;0.4014295016794761;-0.4014295016794761;baseline_0;
"213459_2;1;2;0;0.5544268720946615;1.0;0.9770436867524518;0.9770436867524518;0.6313202247191012;0.992996762200905;0.992996762200905;;1.0;1.0;;1.0;1.0";0.5093296219645346;0.5093296219645346;-0.5093296219645346;baseline_0;
"213675_2;1;2;0;0.5483900181839326;1.0;0.9471665086019964;0.9471665086019964;0.6313202247191012;0.9955323512989104;0.9955323512989104;;1.0;1.0;;1.0;1.0";0.6536312849162011;0.6536312849162011;-0.6536312849162011;baseline_0;
"205179_2;0;2;0;0.8228469099727626;1.0;0.9555156949182142;0.9555156949182142;0.6703296703296706;0.9879420959800252;0.9879420959800252;;1.0;1.0;;1.0;1.0";0.708377979973663;0.708377979973663;-0.708377979973663;baseline_0;
"205424_2;1;2;0;0.5330579620213505;1.0;0.9689101378417552;0.9689101378417552;0.6647509578544064;0.996085891483404;0.996085891483404;;1.0;1.0;;1.0;1.0";0.626416891381669;0.626416891381669;-0.626416891381669;baseline_0;
"207041_2;0;2;0;0.5996800871041754;1.0;0.9786879515791428;0.9786879515791428;0.5367647058823529;0.9814087848166936;0.9814087848166936;;1.0;1.0;;1.0;1.0";0.5754189944134078;0.5754189944134078;-0.5754189944134078;baseline_0;
"212875_2;1;2;0;0.7919149216054296;1.0;0.9827075249864512;0.9827075249864512;0.5687294633077765;0.9976222413546816;0.9976222413546816;;1.0;1.0;;1.0;1.0";0.4345579474560562;0.4345579474560562;-0.4345579474560562;baseline_0;
"212983_2;0;2;1;0.5350745982980865;1.0;0.9685939368180884;0.9685939368180884;0.8118279569892473;0.9966087660503842;0.9966087660503842;;1.0;1.0;1.0;1.0;1.0";0.6871508379888268;0.6871508379888268;-0.6871508379888268;baseline_0;
"213085_2;0;2;0;0.8375199091124113;1.0;0.9751460524665312;0.9751460524665312;0.5501835985312116;0.9811398354633492;0.9811398354633492;;1.0;1.0;;1.0;1.0";0.4014295016794761;0.4014295016794761;-0.4014295016794761;baseline_0;
"213459_2;1;2;0;0.5544268720946615;1.0;0.9770436867524518;0.9770436867524518;0.6313202247191012;0.992996762200905;0.992996762200905;;1.0;1.0;;1.0;1.0";0.5093296219645346;0.5093296219645346;-0.5093296219645346;baseline_0;
"213675_2;1;2;0;0.5483900181839326;1.0;0.9471665086019964;0.9471665086019964;0.6313202247191012;0.9955323512989104;0.9955323512989104;;1.0;1.0;;1.0;1.0";0.6536312849162011;0.6536312849162011;-0.6536312849162011;baseline_0;
"205179_2;0;2;0;0.8228469099727626;1.0;0.9555156949182142;0.9555156949182142;0.6703296703296706;0.9879420959800252;0.9879420959800252;;1.0;1.0;;1.0;1.0";0.708377979973663;0.708377979973663;-0.708377979973663;baseline_0;
"205424_2;1;2;0;0.5330579620213505;1.0;0.9689101378417552;0.9689101378417552;0.6647509578544064;0.996085891483404;0.996085891483404;;1.0;1.0;;1.0;1.0";0.626416891381669;0.626416891381669;-0.626416891381669;baseline_0;
"207041_2;0;2;0;0.5996800871041754;1.0;0.9786879515791428;0.9786879515791428;0.5367647058823529;0.9814087848166936;0.9814087848166936;;1.0;1.0;;1.0;1.0";0.5754189944134078;0.5754189944134078;-0.5754189944134078;baseline_0;
"212875_2;1;2;0;0.7919149216054296;1.0;0.9827075249864512;0.9827075249864512;0.5687294633077765;0.9976222413546816;0.9976222413546816;;1.0;1.0;;1.0;1.0";0.4345579474560562;0.4345579474560562;-0.4345579474560562;baseline_0;
"212983_2;0;2;1;0.5350745982980865;1.0;0.9685939368180884;0.9685939368180884;0.8118279569892473;0.9966087660503842;0.9966087660503842;;1.0;1.0;1.0;1.0;1.0";0.6871508379888268;0.6871508379888268;-0.6871508379888268;baseline_0;
"213085_2;0;2;0;0.8375199091124113;1.0;0.9751460524665312;0.9751460524665312;0.5501835985312116;0.9811398354633492;0.9811398354633492;;1.0;1.0;;1.0;1.0";0.4014295016794761;0.4014295016794761;-0.4014295016794761;baseline_0;
"213459_2;1;2;0;0.5544268720946615;1.0;0.9770436867524518;0.9770436867524518;0.6313202247191012;0.992996762200905;0.992996762200905;;1.0;1.0;;1.0;1.0";0.5093296219645346;0.5093296219645346;-0.5093296219645346;baseline_0;
