Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation
918;1;1;1;0.9999741993153979;1.0;1.0;1.0;0.0;0.0;0.004561142535173106;0.0;0.0;0.6150830331375429
925;1;1;1;0.9999998818082952;1.0;1.0;1.0;0.0;0.0;0.007509072039257374;0.0;0.0;0.6180144599806305
931;0;1;1;0.9526011472695084;1.0;1.0;1.0;0.0;0.0;0.005330626239150964;0.0;0.0;0.6112345342356204
935;0;1;0;0.9954927662864672;1.0;1.0;1.0;0.0;0.0;0.006966146919622525;0.0;0.0;0.6032091525504458
1062;1;1;1;0.9945594609810924;1.0;1.0;1.0;0.0;0.0;0.0013948999227541509;0.0;0.0;0.6126602008423678
1079;0;1;0;0.9924837493040479;1.0;1.0;1.0;0.0;0.0;0.004494230908740249;0.0;0.0;0.6124359386795087
1109;0;1;0;0.8536939070956419;1.0;1.0;1.0;0.0;0.0;0.004053729368057271;0.0;0.0;0.6068934595117036
1122;1;1;1;0.5350831770441581;1.0;1.0;1.0;0.0;0.0;0.004159672776575962;0.0;0.0;0.6148787943820818
1002_13;1;13;1;0.9970377869499072;1.0;1.0;1.0;0.0;0.0;0.0021188000822672825;0.0;0.0;0.6028767639876367
1003_11;0;11;0;0.9994488193599046;1.0;1.0;1.0;0.0;0.0;0.006016724018107225;0.0;0.0;0.6127963600126752
1004_11;1;11;0;0.8868680274505137;1.0;1.0;1.0;0.0;0.0;0.0038287468670789642;0.0;0.0;0.5915154826299321
1004_3;1;3;1;0.992040831576412;1.0;1.0;1.0;0.0;0.0;0.00756475666691223;0.0;0.0;0.5877831194909188
1004_8;1;8;1;0.9479114304681541;1.0;1.0;1.0;0.0;0.0;0.008600082832153402;0.0;0.0;0.5875348292391819
1005_8;0;8;0;0.5769720375649142;1.0;1.0;1.0;0.0;0.0;0.0037526270491094133;0.0;0.0;0.582797291048782
1009_8;0;8;1;0.9970202535429202;1.0;1.0;1.0;0.0;0.0;0.0035240123254638178;0.0;0.0;0.598707890567344
1009_9;0;9;1;0.9983468928487432;1.0;1.0;1.0;0.0;0.0;0.002715496839400125;0.0;0.0;0.6061005325787373
1017_3;1;3;1;0.9997760294073827;1.0;1.0;1.0;0.0;0.0;0.003148965693882125;0.0;0.0;0.5871904266319339
1017_4;1;4;1;0.9998342625902727;1.0;1.0;1.0;0.0;0.0;0.004557786773549988;0.0;0.0;0.5866738227210618
1018_12;0;12;0;0.9999738083076052;1.0;1.0;1.0;0.0;0.0;0.0046524506405632455;0.0;0.0;0.5996610047594955
