Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;LIME Precision;LIME Recall;LIME Correlation;SHAP Precision;SHAP Recall;SHAP Correlation
Case117;0;1;0;0.99999999065593;1.0;1.0;1.0;0.9053030303030304;0.9917690647323912;0.9917690647323912;;1.0;1.0;;1.0;1.0;1.0;1.0;0.8644313882186019;0.0;0.0;0.2743765241583777
Case239;0;1;0;0.6341953451617331;1.0;1.0;1.0;0.8966942148760331;0.9897128875041998;0.9897128875041998;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8637623236766371;0.0;0.0;0.26655502010635473
Case245;1;1;1;0.999999966606436;1.0;1.0;1.0;0.825455495818399;0.9901030269302052;0.9901030269302052;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8359961451850951;0.0;0.0;0.2975097966348346
Case256;1;1;1;0.9999955447254226;1.0;1.0;1.0;0.7878086419753086;0.9768805887274208;0.9768805887274208;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8564026137150236;0.0;0.0;0.29235066721342134
Case33;1;1;1;0.8505073037194961;1.0;1.0;1.0;0.6714456391875746;0.9889515845814448;0.9889515845814448;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8306436288493763;0.0;0.0;0.2803126985634569
Case36;0;1;0;0.5517074104705301;1.0;1.0;1.0;0.7944912992420199;0.9870292057807364;0.9870292057807364;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8363306774560776;0.0;0.0;0.24385485065213613
Case42;1;1;1;0.9279809912411228;1.0;1.0;1.0;0.7568027210884354;0.9920268566682934;0.9920268566682934;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8510500973793046;0.0;0.0;0.26586713618349966
Case50;0;1;0;0.9999999997636828;1.0;1.0;1.0;0.7848831524396206;0.9894540471997452;0.9894540471997452;;1.0;1.0;;1.0;1.0;1.0;1.0;0.8343234838301831;0.0;0.0;0.26414742637636185
Case124_2;0;2;1;0.999999999998204;1.0;1.0;1.0;0.7649290663147477;0.9767801329215768;0.9767801329215768;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.7526512655810701;0.0;0.0;0.32223011579054095
Case136_2;0;2;1;0.9999999975023616;1.0;1.0;1.0;0.763301547033908;0.8207962972436469;0.8207962972436469;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.794843491354412;0.0;0.0;0.3303415634846124
Case155_2;0;2;0;0.9999999995929508;1.0;1.0;1.0;0.7307256235827664;0.9660128374981372;0.9660128374981372;;1.0;1.0;;1.0;1.0;0.0;0.0;0.730550575890272;0.0;0.0;0.31229073622174924
Case244_2;1;2;1;0.9999999997418936;1.0;1.0;1.0;0.7755728797543113;0.9808057727853337;0.9808057727853337;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.7287646615718236;0.0;0.0;0.30337956833248764
Case264_2;1;2;1;0.9936345375665572;1.0;1.0;1.0;0.7257252402069476;0.981987887899251;0.981987887899251;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.7601297817895725;0.0;0.0;0.35551750362441586
Case267_2;1;2;1;1.0;1.0;1.0;1.0;0.7664240755310778;0.9854741751151954;0.9854741751151954;;1.0;1.0;;1.0;1.0;0.0;0.0;0.7530977441606822;0.0;0.0;0.3146898968073196
Case273_2;0;2;0;0.9903609856383896;1.0;1.0;1.0;0.8177982355197545;0.98568210599003;0.98568210599003;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.735573459910908;0.0;0.0;0.345764738677565
Case91_2;1;2;1;0.9999920866287728;1.0;1.0;1.0;0.7343269341492704;0.9670905012725244;0.9670905012725244;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.7206164274939031;0.0;0.0;0.3151468797759997
Case116_3;1;3;1;0.9149227895219412;1.0;1.0;1.0;0.8536333468779629;0.955817313129388;0.955817313129388;;1.0;1.0;;1.0;1.0;1.0;0.5;0.7655772925186074;1.0;0.5;0.3670939542624136
Case13_3;0;3;0;0.9819516289562308;1.0;1.0;1.0;0.6219550325459765;0.9565121204271364;0.9565121204271364;;1.0;1.0;;1.0;1.0;1.0;0.5;0.7826892937845712;0.0;0.0;0.4078012873360119
Case174_3;1;3;1;0.7615256606485784;1.0;1.0;1.0;0.6435041407867494;0.9809942369231598;0.9809942369231598;;1.0;1.0;;1.0;1.0;1.0;0.5;0.7814954332311319;0.0;0.0;0.38973736117002183
Case251_3;0;3;0;0.7897049349685918;1.0;1.0;1.0;0.8197538895213313;0.9823033545600872;0.9823033545600872;;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.7706369872450883;0.0;0.0;0.39149505949537167
Case42_3;1;3;1;0.8336068377391909;1.0;1.0;1.0;0.6534178187403994;0.9800227962858192;0.9800227962858192;;1.0;1.0;;1.0;1.0;1.0;0.5;0.8135591166663596;0.0;0.0;0.3793236251428938
Case54_3;1;3;0;0.9867766665105806;1.0;1.0;1.0;0.7294619422572178;0.9788239928490474;0.9788239928490474;;1.0;1.0;;1.0;1.0;1.0;0.5;0.7852475663990841;0.0;0.0;0.39172800560738086
Case66_3;0;3;0;0.9999200239170152;1.0;1.0;1.0;0.7886750481638166;0.9676838078874114;0.9676838078874114;;1.0;1.0;;1.0;1.0;1.0;0.5;0.7766631405148298;0.0;0.0;0.38898092854905886
Case72_3;0;3;0;0.9694987105599324;1.0;1.0;1.0;0.8472182949243603;0.8848376486910143;0.8848376486910143;;1.0;1.0;;1.0;1.0;1.0;0.5;0.7978683779640142;0.0;0.0;0.38293428987903555
Case11_4;1;4;1;0.9923572161072116;1.0;1.0;1.0;0.7348292048410812;0.8966681265302406;0.8966681265302406;;1.0;1.0;;1.0;1.0;0.0;0.0;0.7222129721838614;0.0;0.0;0.4645248826593172
Case137_4;0;4;1;0.9401014142234912;1.0;1.0;1.0;0.7575996484516363;0.9501231371533704;0.9501231371533704;;1.0;1.0;;1.0;1.0;0.0;0.0;0.7269133269905039;0.0;0.0;0.4713303290345481
Case20_4;1;4;1;0.996687875171716;1.0;1.0;1.0;0.8133654425045154;0.975416986620149;0.975416986620149;;1.0;1.0;;1.0;1.0;0.0;0.0;0.7391826354931369;0.0;0.0;0.48608132348702504
Case252_4;0;4;0;0.9776011693636952;1.0;1.0;1.0;0.7846746440185647;0.9695304453591062;0.9695304453591062;;1.0;1.0;;1.0;1.0;0.0;0.0;0.7124666482465586;0.0;0.0;0.47919912640590884
Case272_4;1;4;1;0.997897737841282;1.0;1.0;1.0;0.7682416267942583;0.9325945830864156;0.9325945830864156;;1.0;1.0;;1.0;1.0;0.0;0.0;0.7188950746732903;0.0;0.0;0.47363425619282945
Case34_4;0;4;0;0.9892517954994464;1.0;1.0;1.0;0.8137135543485047;0.8643306082171575;0.8643306082171575;;1.0;1.0;;1.0;1.0;0.0;0.0;0.7472008878103505;0.0;0.0;0.4576839912508819
Case53_4;1;4;1;0.9884334635535796;1.0;1.0;1.0;0.7133704423191871;0.9429492244084712;0.9429492244084712;;1.0;1.0;;1.0;1.0;0.0;0.0;0.7030659386332735;0.0;0.0;0.464651665197318
Case98_4;0;4;0;0.9337878158416704;1.0;1.0;1.0;0.7871012049697197;0.9760095419237969;0.9760095419237969;;1.0;1.0;;1.0;1.0;0.0;0.0;0.7201392862397544;0.5;1.0;0.45088930444764425
Case195_5;0;5;0;0.9861722426096484;1.0;1.0;1.0;0.5799104345836059;0.9663630443908156;0.9663630443908156;;1.0;1.0;;1.0;1.0;1.0;0.5;0.7407987200538955;0.0;0.0;0.508095714158247
Case21_5;1;5;1;0.9986154297272888;1.0;1.0;1.0;0.7447266925606649;0.9759876830747862;0.9759876830747862;;1.0;1.0;;1.0;1.0;1.0;0.5;0.7296342826448867;0.0;0.0;0.5013027707404072
Case22_5;1;5;1;0.9793381110021528;1.0;1.0;1.0;0.7294023704208799;0.9680436568133164;0.9680436568133164;;1.0;1.0;;1.0;1.0;1.0;0.5;0.7481333608465083;0.0;0.0;0.5007386508717976
Case239_5;0;5;0;0.9885061501677062;1.0;1.0;1.0;0.7384935756682863;0.9623291540675212;0.9623291540675212;;1.0;1.0;;1.0;1.0;1.0;0.5;0.7260133840257487;0.0;0.0;0.5022664755159485
