Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;LIME Precision;LIME Recall;LIME Correlation;LINDA Precision;LINDA Recall;LINDA Correlation;SHAP Precision;SHAP Recall;SHAP Correlation
206432.0;0.0;1.0;1.0;0.5098944947938202;0.8031135531135531;0.9980838310485628;0.9980838310485628;1.0;0.9999246874320116;0.9999246874320116;;1.0;1.0;1.0;1.0;1.0;1.0;0.75;0.8395641694281747;0.0930232558139534;1.0;0.0;1.0;1.0;0.8065812913434964
206615.0;1.0;1.0;1.0;0.5580778796262049;0.8530974795019739;0.9988149995741518;0.9988149995741518;1.0;0.9998848981753212;0.9998848981753212;;1.0;1.0;;1.0;1.0;1.0;1.0;0.9115268125220182;0.0930232558139534;1.0;0.0;1.0;1.0;0.9265190298332356
207125.0;0.0;1.0;0.0;0.5496407382825902;1.0;0.9982182412762008;0.9982182412762008;0.9686771561771558;0.9999673650219628;0.9999673650219628;;1.0;1.0;;1.0;1.0;0.0;0.0;0.8155766217302267;0.1162790697674418;1.0;0.0;0.0;0.0;0.8785439344373399
207359.0;0.0;1.0;0.0;0.6470688576774015;1.0;0.998575938120071;0.998575938120071;0.8696969696969696;0.9999638257162552;0.9999638257162552;;1.0;1.0;;1.0;1.0;0.3333333333333333;0.5;0.8815423778995835;0.0930232558139534;1.0;0.0;1.0;1.0;0.9505065775311835
209667.0;0.0;1.0;0.0;0.5454030253743088;1.0;0.9984013798871728;0.9984013798871728;0.8167613636363636;0.999932907023924;0.999932907023924;;1.0;1.0;;1.0;1.0;0.0;0.0;0.866550160588366;0.0232558139534883;1.0;0.0;0.0;0.0;0.8065812913434964
212398.0;1.0;1.0;0.0;0.550437778873132;1.0;0.9993637729807048;0.9993637729807048;1.0;0.9999162451242124;0.9999162451242124;;1.0;1.0;;1.0;1.0;0.0;0.0;0.6596575616935658;0.1162790697674418;1.0;0.0;0.0;0.0;0.7705999697965745
212950.0;1.0;1.0;1.0;0.5457877705045756;0.8123015873015873;0.9981178998499513;0.9981178998499513;1.0;0.9999641841528408;0.9999641841528408;;1.0;1.0;;1.0;1.0;1.0;1.0;0.9085283690597749;0.0930232558139534;1.0;0.0;1.0;1.0;0.9265190298332356
213052.0;1.0;1.0;1.0;0.5570929083799071;0.7852147852147853;0.9991106753837548;0.9991106753837548;0.9240461610927933;0.9999595765012038;0.9999595765012038;;1.0;1.0;;1.0;1.0;1.0;0.75;0.8935361517485573;0.0930232558139534;1.0;0.0;1.0;1.0;0.9265190298332356
204862_2;1.0;2.0;0.0;0.9722568118637094;1.0;0.8955754547201501;0.8955754547201501;1.0;0.9603925295465624;0.9603925295465624;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8279506678309565;0.0227272727272727;1.0;0.0;0.0;0.0;0.5851394950232862
206165_2;0.0;2.0;0.0;0.6770485709531531;1.0;0.9439638367226232;0.9439638367226232;1.0;0.9714982719784436;0.9714982719784436;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8464782352229778;0.0227272727272727;1.0;0.0;0.0;0.0;0.3454334920895815
