"Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability";MAPE Correctness;RMSE Correctness;R2 Correctness;Mode;"Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability"
"206053.0;1.0;1.0;0.0;0.5300946726921456;1.0;1.0;1.0;1.0;0.9999996261480878;0.9999996261480878;;1.0;1.0;;1.0;1.0";0.911111111111111;0.911111111111111;-0.816496580927726;baseline_0;
"206162.0;1.0;1.0;0.0;0.5301661272003284;1.0;1.0;1.0;1.0;0.99999987111808;0.99999987111808;;1.0;1.0;;1.0;1.0";0.9555555555555554;0.9555555555555554;-0.9555555555555554;baseline_0;
"206633.0;1.0;1.0;0.0;0.5300384088180844;1.0;1.0;1.0;1.0;0.9999997279226904;0.9999997279226904;;1.0;1.0;;1.0;1.0";0.9999999999999999;0.9999999999999999;-0.9999999999999999;baseline_0;
"207488.0;0.0;1.0;0.0;0.5301754110962483;1.0;1.0;1.0;0.8129251700680271;0.9999998019348336;0.9999998019348336;;1.0;1.0;;1.0;1.0";0.8222222222222221;0.8222222222222221;-0.816496580927726;baseline_0;
"208343.0;0.0;1.0;0.0;0.5301247699916797;1.0;1.0;1.0;1.0;0.999999814298778;0.999999814298778;;1.0;1.0;;1.0;1.0";0.9999999999999999;0.9999999999999999;-0.9999999999999999;baseline_0;
"210890.0;0.0;1.0;0.0;0.5300251290833178;1.0;1.0;1.0;1.0;0.9999999626656094;0.9999999626656094;;1.0;1.0;;1.0;1.0";0.9999999999999999;0.9999999999999999;-0.9999999999999999;baseline_0;
"211044.0;1.0;1.0;0.0;0.530245176858988;1.0;1.0;1.0;1.0;0.999999808453988;0.999999808453988;;1.0;1.0;;1.0;1.0";0.7071067811865475;0.7071067811865475;-0.7071067811865475;baseline_0;
"212118.0;0.0;1.0;0.0;0.530157248521578;1.0;1.0;1.0;1.0;0.9999998769722976;0.9999998769722976;;1.0;1.0;;1.0;1.0";0.9555555555555554;0.9555555555555554;-0.9555555555555554;baseline_0;
"206053.0;1.0;1.0;0.0;0.5300946726921456;1.0;1.0;1.0;1.0;0.9999996261480878;0.9999996261480878;;1.0;1.0;;1.0;1.0";0.911111111111111;0.911111111111111;-0.816496580927726;baseline_0;
"206162.0;1.0;1.0;0.0;0.5301661272003284;1.0;1.0;1.0;1.0;0.99999987111808;0.99999987111808;;1.0;1.0;;1.0;1.0";0.9555555555555554;0.9555555555555554;-0.9555555555555554;baseline_0;
