Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Precision;LIME Recall;LIME Correlation;SHAP Precision;SHAP Recall;SHAP Correlation
958.0;0.0;1.0;0.0;1.0;1.0;0.9999465707233768;0.9999465707233768;0.0;0.0;0.6047880120657531;1.0;1.0;-0.07926024066096775
976.0;0.0;1.0;1.0;1.0;1.0;0.9999571242412004;0.9999571242412004;0.0;0.0;0.6123147998034877;1.0;1.0;-0.09601933877705228
989.0;1.0;1.0;1.0;1.0;1.0;0.9999230500743248;0.9999230500743248;1.0;1.0;0.6079692349777751;1.0;1.0;-0.13449324905782672
1049.0;1.0;1.0;0.0;1.0;1.0;0.9999902906450984;0.9999902906450984;0.0;0.0;0.6108083757402979;0.0;0.0;-0.0724097682930703
1066.0;1.0;1.0;1.0;1.0;1.0;0.9999632613550812;0.9999632613550812;0.0;0.0;0.6111956039159764;1.0;1.0;-0.08866755746422252
1075.0;0.0;1.0;1.0;1.0;1.0;0.999953666792774;0.999953666792774;0.0;0.0;0.6112447393451843;1.0;1.0;-0.07214793319504571
1085.0;1.0;1.0;1.0;1.0;1.0;0.999905613063896;0.999905613063896;0.0;0.0;0.6039290198853544;1.0;1.0;-0.1309165332484931
1101.0;0.0;1.0;1.0;1.0;1.0;0.999895523941322;0.999895523941322;0.0;0.0;0.5885429602988207;1.0;1.0;-0.11218501000095121
1019_2;0.0;2.0;0.0;1.0;1.0;0.999949087190505;0.999949087190505;0.0;0.0;0.0624582835388096;1.0;1.0;-0.10745615028410804
1028_2;1.0;2.0;1.0;1.0;1.0;-0.3409417436333533;-0.3409417436333533;0.0;0.0;0.0597402060896356;1.0;1.0;-0.21249803720103527
1070_2;0.0;2.0;0.0;1.0;1.0;0.9620075070777856;0.9620075070777856;0.0;0.0;0.046034823259377;0.0;0.0;-0.1323205047628068
1097_2;1.0;2.0;0.0;1.0;1.0;0.9942265432416618;0.9942265432416618;0.0;0.0;0.0599492889703413;0.0;0.0;-0.21000602504912264
1099_2;0.0;2.0;0.0;1.0;1.0;0.9999292470500148;0.9999292470500148;0.0;0.0;0.0504046554661261;0.0;0.0;-0.16427392856513087
922_2;0.0;2.0;1.0;1.0;1.0;0.999933292881296;0.999933292881296;0.0;0.0;0.0524275323369538;1.0;1.0;-0.20207149368665236
926_2;1.0;2.0;0.0;1.0;1.0;0.9962065981050732;0.9962065981050732;0.0;0.0;0.0584229839411897;0.0;0.0;-0.1837428521496854
962_2;1.0;2.0;1.0;1.0;1.0;-1.090417554460915;-1.090417554460915;0.0;0.0;0.0589195557828657;1.0;1.0;-0.18202229131966535
1026_3;1.0;3.0;1.0;1.0;1.0;0.999874016121462;0.999874016121462;0.0;0.0;0.0701745812953282;1.0;1.0;-0.05733803407276811
1074_3;0.0;3.0;1.0;1.0;1.0;0.9996575585587888;0.9996575585587888;0.0;0.0;0.0859724270322945;1.0;1.0;-0.1615476422435177
1103_3;0.0;3.0;0.0;1.0;1.0;0.9998108877286812;0.9998108877286812;0.0;0.0;0.0803722301488644;1.0;1.0;-0.08190665715091165
1115_3;1.0;3.0;1.0;1.0;1.0;0.9998691121468434;0.9998691121468434;0.0;0.0;0.0644928086343425;1.0;1.0;-0.15167133947668845
1116_3;1.0;3.0;1.0;1.0;1.0;0.9998537468336832;0.9998537468336832;0.0;0.0;0.0839276876544684;1.0;1.0;-0.052312871825338475
1136_3;0.0;3.0;0.0;1.0;1.0;0.9999248925228016;0.9999248925228016;0.0;0.0;0.0849220027281707;0.0;0.0;-0.05828862006153951
957_3;1.0;3.0;1.0;1.0;1.0;0.9998403965566188;0.9998403965566188;0.0;0.0;0.0822172600577367;1.0;1.0;-0.05455744129026613
973_3;0.0;3.0;0.0;1.0;1.0;0.9998137480351604;0.9998137480351604;0.0;0.0;0.0711350998452573;1.0;1.0;-0.04212752786748056
