,,,,MAPE Correctness,MAPE Correctness,MAPE Correctness,MAPE Correctness,MAPE Correctness,RMSE Correctness,RMSE Correctness,RMSE Correctness,RMSE Correctness,RMSE Correctness,R2 Correctness,R2 Correctness,R2 Correctness,R2 Correctness,R2 Correctness
Mode,,,,baseline_0,baseline_max,baseline_mean,baseline_min,permutation,baseline_0,baseline_max,baseline_mean,baseline_min,permutation,baseline_0,baseline_max,baseline_mean,baseline_min,permutation
Pre-processing,Data,Model,,,,,,,,,,,,,,,,
prefix_agg,bpic2012,decision_tree,mean,0.564,0.7614,0.3514,0.564,0.964,0.564,0.7614,0.3514,0.564,0.9635,-0.5655,-0.7656,-0.3515,-0.5655,-0.9688
prefix_agg,bpic2012,logit,mean,0.0871,0.7785,0.2757,0.0872,0.8987,0.0871,0.7785,0.2757,0.0872,0.8941,-0.0686,-0.5981,-0.2852,-0.069,-0.6798
prefix_agg,bpic2012,nb,mean,0.1645,0.5027,0.3695,0.1645,0.6399,0.1645,0.5027,0.3695,0.1645,0.6314,-0.1576,-0.4418,-0.3665,-0.1576,-0.5824
prefix_agg,production,decision_tree,mean,0.4389,0.6874,0.4382,0.4389,0.9726,0.4389,0.6875,0.4382,0.4389,0.9724,-0.4389,-0.6887,-0.4382,-0.4389,-0.9753
prefix_agg,production,logit,mean,0.1582,0.6381,0.5616,0.1582,0.6853,0.1583,0.6381,0.5616,0.1583,0.691,-0.1474,-0.5936,-0.5318,-0.1474,-0.6446
prefix_agg,production,nb,mean,0.0123,0.3254,0.174,0.0123,0.3561,0.0123,0.3254,0.174,0.0123,0.3539,-0.0048,-0.2916,-0.1756,-0.0048,-0.3248
prefix_agg,sepsis_cases,decision_tree,mean,0.3903,0.7823,0.2894,0.3903,0.9924,0.3903,0.7823,0.2894,0.3903,0.9924,-0.3903,-0.7827,-0.2896,-0.3903,-0.9937
prefix_agg,sepsis_cases,logit,mean,0.0939,0.5924,0.4158,0.0947,0.6998,0.0939,0.5923,0.4158,0.0947,0.7068,-0.0898,-0.5376,-0.3941,-0.0905,-0.6415
