Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;LIME Precision;LIME Recall;LIME Correlation;LINDA Precision;LINDA Recall;LINDA Correlation;SHAP Precision;SHAP Recall;SHAP Correlation
Case103_9;1;9;1;0.9511769741093696;1.0;1.0;1.0;0.93775;0.955300208824556;0.955300208824556;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4628824527062268;0.0060240963855421;1.0;0.0;0.0;0.0;0.33593188749048
Case104;0;1;1;0.6715102511006412;1.0;1.0;1.0;0.9160612853747744;0.85293215717213;0.85293215717213;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5630323200794946;0.0060240963855421;1.0;0.0;0.0;0.0;0.36200509252701357
Case104_5;0;5;1;0.6852132150854066;1.0;1.0;1.0;0.9565475359486248;0.97503793408827;0.97503793408827;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4865675308295398;0.0060240963855421;1.0;0.0;0.0;0.0;0.37305306076283296
Case10_10;1;10;1;0.9999999904849358;1.0;1.0;1.0;0.9413686534216336;0.980874718455806;0.980874718455806;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.5494353307864815;0.0060240963855421;1.0;0.0;0.0;0.0;0.38675254137524895
Case10_3;1;3;1;0.9399397224568122;1.0;1.0;1.0;0.9324116465500082;0.9547367456615136;0.9547367456615136;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5292591531258816;0.0060240963855421;1.0;0.0;0.0;0.0;0.37305306076283296
Case10_9;1;9;1;0.9999999361350224;1.0;1.0;1.0;0.9184005434005432;0.9444484697059186;0.9444484697059186;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.5535290479929801;0.0060240963855421;1.0;0.0;0.0;0.0;0.38969866623813404
Case114_5;1;5;1;0.7189332475705118;1.0;1.0;1.0;0.937593984962406;0.9757600600948878;0.9757600600948878;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5065975043041933;0.0060240963855421;1.0;0.0;0.0;0.0;0.4038400655799828
Case115_3;1;3;1;0.7946405281697424;1.0;1.0;1.0;0.926710816777042;0.9622155333617004;0.9622155333617004;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5675646498438321;0.0060240963855421;1.0;0.0;0.0;0.0;0.36598236109190857
Case125_5;0;5;0;0.8211515742961002;1.0;1.0;1.0;0.926710816777042;0.9805038037125784;0.9805038037125784;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4554260392229617;0.0060240963855421;1.0;0.0;0.0;0.0;0.3752626544099968
Case127_11;1;11;1;0.9999822724420576;1.0;1.0;1.0;0.8913688398715622;0.9651043357972726;0.9651043357972726;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.5178552266220642;0.0060240963855421;1.0;0.0;0.0;0.0;0.350220593075473
Case12_14;0;14;0;0.9999953651296408;1.0;1.0;1.0;0.8913688398715622;0.9426849742794552;0.9426849742794552;;1.0;1.0;;1.0;1.0;0.5;1.0;0.5049892582587832;0.0060240963855421;1.0;0.0;0.0;0.0;0.3213485694191985
Case12_8;0;8;0;0.999997183764818;1.0;1.0;1.0;0.9203371492391456;0.8820788802831109;0.8820788802831109;;1.0;1.0;;1.0;1.0;0.5;1.0;0.4677071908424572;0.0060240963855421;1.0;0.0;0.0;0.0;0.38704715386153743
Case12_9;0;9;0;0.9999998508523724;1.0;1.0;1.0;0.9537939097032788;0.9679223659521156;0.9679223659521156;;1.0;1.0;;1.0;1.0;0.5;1.0;0.4956321903582151;0.0060240963855421;1.0;0.0;0.0;0.0;0.3698123234136592
Case145_5;0;5;0;0.9999974696341128;1.0;1.0;1.0;0.9446761507551088;0.9745461557109588;0.9745461557109588;;1.0;1.0;;1.0;1.0;1.0;1.0;0.4968018238457861;0.0060240963855421;1.0;0.0;0.0;0.0;0.39573822220704863
Case146_2;0;2;0;0.9999903303090196;1.0;1.0;1.0;0.9332327802916038;0.9734633836381924;0.9734633836381924;;1.0;1.0;;1.0;1.0;1.0;1.0;0.5450492052080902;0.0060240963855421;1.0;0.0;0.0;0.0;0.3349007437884702
Case148;0;1;0;0.9999999998183592;1.0;1.0;1.0;0.9695836997947817;0.9847361709915764;0.9847361709915764;;1.0;1.0;;1.0;1.0;1.0;1.0;0.5862787856449683;0.0060240963855421;1.0;0.0;0.0;0.0;0.38100759789262284
Case163_6;1;6;1;0.9999952158440548;1.0;1.0;1.0;0.8210242587601078;0.92447811700948;0.92447811700948;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5077671377917643;0.0060240963855421;1.0;0.0;0.0;0.0;0.31978568900359416
Case174_8;1;8;1;0.9823718301153426;1.0;1.0;1.0;0.92305617826021;0.9472216627601152;0.9472216627601152;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4599583689872993;0.0060240963855421;1.0;0.0;0.0;0.0;0.3569966802601088
Case178;0;1;0;0.6183792629143791;1.0;1.0;1.0;0.942739863058588;0.9812790745345626;0.9812790745345626;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6030922670288015;0.0060240963855421;1.0;0.0;0.0;0.0;0.374231510707987
Case178_11;0;11;0;0.9755782359322446;1.0;1.0;1.0;0.9035642785642786;0.97405141327654;0.97405141327654;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4960708029160542;0.0060240963855421;1.0;0.0;0.0;0.0;0.3342110043188311
Case178_13;0;13;0;0.990440588343596;1.0;1.0;1.0;0.9565475359486248;0.978303047012722;0.978303047012722;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4962170071020006;0.0060240963855421;1.0;0.0;0.0;0.0;0.3153697761519911
Case17_9;1;9;1;0.9999999999980618;1.0;1.0;1.0;0.8006577002660361;0.980785392558165;0.980785392558165;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.4959245987301078;0.0060240963855421;1.0;0.0;0.0;0.0;0.3609739488250038
Case185_2;0;2;0;0.7541025682614405;1.0;1.0;1.0;0.9247556412665447;0.9710218745479056;0.9710218745479056;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5438795717205192;0.0060240963855421;1.0;0.0;0.0;0.0;0.3791061183101297
Case188_12;1;12;1;0.9999999999999408;1.0;1.0;1.0;0.8769033023531738;0.9685384747684496;0.9685384747684496;;1.0;1.0;;1.0;1.0;0.5;1.0;0.5386162210264497;0.0060240963855421;1.0;0.0;0.0;0.0;0.333924206744259
Case188_14;1;14;1;0.9999999999999764;1.0;1.0;1.0;0.8231031543052003;0.9624351792019848;0.9624351792019848;;1.0;1.0;;1.0;1.0;1.0;1.0;0.5371541791669859;0.0060240963855421;1.0;0.0;0.0;0.0;0.32981075413148325
Case192_9;0;9;0;0.9999794705858844;1.0;1.0;1.0;0.9835395843249246;0.9672391995256192;0.9672391995256192;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4973866405895716;0.0060240963855421;1.0;0.0;0.0;0.0;0.34889483688717465
