Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation;LINDA Precision;LINDA Recall;LINDA Correlation
204484;0;1;0;0.5230416266981354;1.0;1.0;1.0;-0.1486394092711613;0.9973176638664742;0.9973176638664742;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.08308347722233289;1.0;1.0;0.7025511634426689;0.008333333333333333;1.0;0.0
204718;1;1;0;0.5230003296915602;1.0;1.0;1.0;-0.1717238711103745;0.99776298596294;0.99776298596294;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.09470354396671513;0.5;1.0;0.7003083823941688;0.008333333333333333;1.0;0.0
204969;0;1;0;0.5468110267037964;1.0;1.0;1.0;1.0;0.9980744218157224;0.9980744218157224;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.09586555064115332;0.5;1.0;0.7011494252873564;0.008333333333333333;1.0;0.0
206546;1;1;0;0.5192891209672311;1.0;1.0;1.0;1.0;0.9982546902891806;0.9982546902891806;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.09906106899585844;1.0;1.0;0.7143257639472946;0.008333333333333333;1.0;0.0
208619;1;1;0;0.5188070394341253;1.0;1.0;1.0;1.0;0.996912439624292;0.996912439624292;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.09528454730393422;1.0;1.0;0.7115222876366696;0.008333333333333333;1.0;0.0
208871;0;1;0;0.5475848147935919;1.0;1.0;1.0;1.0;0.9980165386359244;0.9980165386359244;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.08511698890259978;0.5;1.0;0.7017101205494813;0.008333333333333333;1.0;0.0
209652;0;1;0;0.5501871286496873;1.0;1.0;1.0;-0.1688311688311696;0.9983881264992454;0.9983881264992454;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.08685999891425711;1.0;1.0;0.6896551724137931;0.008333333333333333;1.0;0.0
214226;1;1;0;0.5413899789826784;1.0;1.0;1.0;1.0;0.9979170799238778;0.9979170799238778;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.08511698890259978;1.0;1.0;0.7042332492290441;0.008333333333333333;1.0;0.0
204541_9;1;9;1;0.5487661945677647;1.0;1.0;1.0;1.0;0.9977868556842916;0.9977868556842916;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.07146341047795067;0.5;1.0;0.7291841883936081;0.008333333333333333;1.0;0.0
204604_3;0;3;0;0.5869611397332892;1.0;1.0;1.0;1.0;0.9967416408344192;0.9967416408344192;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.06623438044297866;0.5;1.0;0.7045135968601066;0.008333333333333333;1.0;0.0
204607_2;1;2;1;0.5020108518606452;1.0;1.0;1.0;-0.1775181261470813;0.997846195710678;0.997846195710678;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.06972040046629333;0.5;1.0;0.7011494252873564;0.008333333333333333;1.0;0.0
204646_6;1;6;0;0.5146616786416038;1.0;1.0;1.0;-0.1428798190440292;0.9976904970471838;0.9976904970471838;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.023240133488764445;1.0;1.0;0.7227361928791702;0.008333333333333333;1.0;0.0
204799_10;0;10;1;0.5305574886290758;1.0;1.0;1.0;1.0;0.998582031909258;0.998582031909258;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.04880428032640533;1.0;1.0;0.7353518362769835;0.008333333333333333;1.0;0.0
205005_9;1;9;1;0.5321950581513172;1.0;1.0;1.0;1.0;0.9958314650151572;0.9958314650151572;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.06739638711741687;0.5;1.0;0.6904962153069807;0.008333333333333333;1.0;0.0
205062_11;0;11;0;0.5690368361345728;1.0;1.0;1.0;-0.1572836299747924;0.9978369111899514;0.9978369111899514;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.07204441381516978;1.0;1.0;0.6750770955985422;0.008333333333333333;1.0;0.0
205062_7;0;7;0;0.571807104529104;1.0;1.0;1.0;1.0;0.9981710596346016;0.9981710596346016;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.05025678866945312;1.0;1.0;0.6935800392486684;0.008333333333333333;1.0;0.0
205238_2;0;2;0;0.5253634248743595;1.0;1.0;1.0;-0.1688311688311696;0.997557971213703;0.997557971213703;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.07756394551875133;0.5;1.0;0.7261003644519204;0.008333333333333333;1.0;0.0
205268_12;1;12;1;0.5437075454209231;1.0;1.0;1.0;-0.1572836299747924;0.9973618912384165;0.9973618912384165;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.08279297555372334;1.0;1.0;0.6932996916176059;0.008333333333333333;1.0;0.0
205343_5;0;5;0;0.5217092834248936;1.0;1.0;1.0;1.0;0.9921416767181908;0.9921416767181908;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.05170929701250089;0.5;1.0;0.6633024950939165;0.008333333333333333;1.0;0.0
205388_3;0;3;0;0.5200731709147683;1.0;1.0;1.0;-0.1717238711103745;0.9911646220297186;0.9911646220297186;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.06826789212324555;1.0;1.0;0.7151668068404823;0.008333333333333333;1.0;0.0
205514_5;0;5;0;0.5243394699099171;1.0;1.0;1.0;1.0;0.9981492938428942;0.9981492938428942;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.04386575196004289;1.0;1.0;0.6739557050742921;0.008333333333333333;1.0;0.0
205640_6;1;6;1;0.5253919545157784;1.0;1.0;1.0;1.0;0.9982336198005946;0.9982336198005946;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.02149712347710711;1.0;1.0;0.6890944771516682;0.008333333333333333;1.0;0.0
205736_12;0;12;1;0.544234940112769;1.0;1.0;1.0;1.0;0.9982710349697236;0.9982710349697236;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.08221197221650423;1.0;1.0;0.7468460891505467;0.008333333333333333;1.0;0.0
205754_13;0;13;1;0.5364861323174452;1.0;1.0;1.0;-0.163053297199639;0.997942758161957;0.997942758161957;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.08104996554206599;1.0;1.0;0.7294645360246707;0.008333333333333333;1.0;0.0
205837_8;1;8;0;0.5598716894345452;1.0;1.0;1.0;-0.151519851116626;0.9971977805809346;0.9971977805809346;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.047061270314748;1.0;1.0;0.6941407345107934;0.008333333333333333;1.0;0.0
205882_5;1;5;0;0.5201686591252179;1.0;1.0;1.0;-0.163053297199639;0.9947481934842044;0.9947481934842044;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.036603210244804;1.0;1.0;0.6846089150546678;0.008333333333333333;1.0;0.0
205960_8;0;8;1;0.5439592167998117;1.0;1.0;1.0;1.0;0.9810633156292364;0.9810633156292364;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.05199979868111045;1.0;1.0;0.6630221474628539;0.008333333333333333;1.0;0.0
206050_14;0;14;1;0.5393755226633105;1.0;1.0;1.0;-0.1717238711103745;0.9979705718840368;0.9979705718840368;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.08569799223981889;1.0;1.0;0.7160078497336698;0.008333333333333333;1.0;0.0
206105_2;0;2;0;0.50813870204471;1.0;1.0;1.0;-0.1464133639043565;0.997644284981018;0.997644284981018;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.07204441381516978;1.0;1.0;0.7104008971124194;0.008333333333333333;1.0;0.0
206198_5;1;5;0;0.5611314574138508;1.0;1.0;1.0;-0.1486394092711613;0.9975000305696108;0.9975000305696108;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.056647825378863335;1.0;1.0;0.6560134566862911;0.008333333333333333;1.0;0.0
206216_2;0;2;0;0.5055319184128179;1.0;1.0;1.0;0.8316498316498316;0.9984425800641212;0.9984425800641212;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.07291591882099845;1.0;1.0;0.7089991589571069;0.008333333333333333;1.0;0.0
206255_7;0;7;0;0.5409431725721273;1.0;1.0;1.0;1.0;0.9976226324216636;0.9976226324216636;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.03573170523897533;1.0;1.0;0.6848892626857304;0.008333333333333333;1.0;0.0
206258_11;1;11;1;0.5331675262980933;1.0;1.0;1.0;1.0;0.986731529381533;0.986731529381533;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.07640193884431311;1.0;1.0;0.6888141295206056;0.008333333333333333;1.0;0.0
206513_8;1;8;0;0.5042707824764845;1.0;1.0;1.0;1.0;0.99745117296727;0.99745117296727;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.04154173861116645;1.0;1.0;0.7375946173254836;0.008333333333333333;1.0;0.0
206546_13;1;13;0;0.5803014850843373;1.0;1.0;1.0;1.0;0.9970124117475512;0.9970124117475512;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.05287130368693911;1.0;1.0;0.7289038407625456;0.008333333333333333;1.0;0.0
206576_3;0;3;0;0.500354415808464;1.0;1.0;1.0;1.0;0.9985151570213426;0.9985151570213426;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.06216735708244489;0.5;1.0;0.7064760302775442;0.008333333333333333;1.0;0.0
206745_6;0;6;1;0.5024904309486065;1.0;1.0;1.0;1.0;0.9956751105892984;0.9956751105892984;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.07088240714073156;0.5;1.0;0.6590972806279787;0.008333333333333333;1.0;0.0
206925_2;0;2;0;0.5335683187818365;1.0;1.0;1.0;-0.1775181261470813;0.9975342890835884;0.9975342890835884;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.07814494885597044;0.5;1.0;0.7148864592094197;0.008333333333333333;1.0;0.0
207023_14;1;14;1;0.5985428970311671;1.0;1.0;1.0;1.0;0.9985488183265374;0.9985488183265374;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.10748561738553554;1.0;1.0;0.6991869918699187;0.008333333333333333;1.0;0.0
207119_12;0;12;1;0.5471432549275571;1.0;1.0;1.0;1.0;0.9955183143816496;0.9955183143816496;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.07872595219318955;1.0;1.0;0.6689094477151668;0.008333333333333333;1.0;0.0
207140_3;1;3;0;0.5305765723496021;1.0;1.0;1.0;1.0;0.9979395169561072;0.9979395169561072;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.06158635374522577;0.5;1.0;0.7028315110737315;0.008333333333333333;1.0;0.0
