Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation
1;0;0.987090757;0.877899878;0.992600276;0.992600276;1.0;0.996663092;0.996663092;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.5540916385036406;0.0;0.0;0.4105263157894737
0;0;0.999607415;0.693564862;0.989227014;0.989227014;1.0;0.995555636;0.995555636;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.4485503740267567;0.0;0.0;0.4210526315789474
0;0;0.999743434;0.769585253;0.978274708;0.978274708;1.0;0.994789263;0.994789263;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.511875132712887;0.0;0.0;0.45263157894736844
0;0;0.997305765;0.694749695;0.900793471;0.900793471;1.0;0.996508359;0.996508359;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6068622707420824;0.0;0.0;0.38947368421052636
0;0;0.999999738;0.877899878;0.988536511;0.988536511;1.0;0.997691666;0.997691666;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.6455026455026455;0.0;0.0;0.4063338682360031
1;0;0.999685684;0.796195652;0.981697813;0.981697813;1.0;0.993899373;0.993899373;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.511875132712887;0.0;0.0;0.4421052631578947
0;0;0.961153536;1.0;0.996599689;0.996599689;1.0;0.994879061;0.994879061;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5608465608465608;0.0;0.0;0.38522561534062627
0;0;1.0;0.877899878;0.992317892;0.992317892;1.0;0.940661458;0.940661458;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.7335117881143434;0.0;0.0;0.3684210526315789
0;0;0.975077962;0.763257576;0.980473946;0.980473946;1.0;0.994558461;0.994558461;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.4973544973544973;0.0;0.0;0.31134673020680753
0;0;0.99917145;0.666666667;0.985613755;0.985613755;1.0;0.993771954;0.993771954;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.4485503740267567;0.0;0.0;0.4736842105263158
