Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation;MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
AF;1;1;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
ALA_6;0;6;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
B;0;1;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
BF_5;1;5;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
BU_13;0;13;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
CFA_4;0;4;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
CFA_9;0;9;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
DBA_14;0;14;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
DBA_5;0;5;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
DC_11;0;11;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
EDA_2;1;2;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
EI_11;1;11;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
EJ;0;1;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
EJA_9;0;9;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
EMA_10;1;10;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
FDA_13;1;13;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
FN_2;0;2;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
FO_7;0;7;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
FU_2;0;2;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
FX;1;1;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
FZ_3;1;3;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
GL_14;1;14;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
GN_10;1;10;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
GO_9;0;9;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
HF_10;0;10;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
HI;1;1;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
HI_7;1;7;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
HL_9;0;9;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
HZ_14;0;14;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
IAA_3;0;3;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
IGA_9;1;9;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
IH_3;1;3;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
IIA_2;0;2;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
ILA_6;1;6;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
IP_12;1;12;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
IS_6;0;6;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
I_7;0;7;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
JCA_13;0;13;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
JO_10;1;10;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
JY_4;1;4;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
KFA_12;1;12;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
KMA_4;0;4;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
KX_6;1;6;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
LBA_12;0;12;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
LKA_13;1;13;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
LKA_5;1;5;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
LK_10;0;10;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
LM_5;0;5;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
LQ_4;1;4;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
LZ_11;0;11;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
L_2;1;2;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
MC_13;1;13;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
MC_6;1;6;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
MD_7;1;7;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
MKA_12;0;12;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
MN_12;1;12;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
MN_9;1;9;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
NK_14;0;14;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
NN_5;0;5;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
NO_7;0;7;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
NZ_3;0;3;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
OD_8;0;8;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
OL;1;1;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
OLA_8;1;8;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
OM_11;0;11;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
OR_4;0;4;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
OX_11;1;11;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
PB_2;1;2;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
PG_9;1;9;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
QB_12;1;12;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
QIA_10;1;10;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
QY_3;0;3;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
RI_8;1;8;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
RM_4;0;4;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
RZ;0;1;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
SJA_11;1;11;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
SK_14;1;14;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
SL_8;0;8;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
SM_7;1;7;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
SO_2;1;2;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
SO_4;1;4;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
SO_7;1;7;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
SQ_6;0;6;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
ST_10;0;10;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
TH_2;0;2;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
TJ_3;1;3;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
TKA_13;0;13;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
TX_6;0;6;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
UBA_14;0;14;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
UQ_8;0;8;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
VJ_12;0;12;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
VO_8;1;8;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
VO_9;1;9;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
WC_3;1;3;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
WC_5;1;5;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
WL;0;1;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
WM_13;1;13;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
WM_8;1;8;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
WW_14;1;14;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
XKA_8;0;8;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
YGA_11;1;11;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
YIA_5;1;5;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
YJA_7;0;7;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
YK_4;1;4;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
YMA_6;1;6;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
ZF_12;0;12;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
ZKA_11;0;11;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
ZLA_3;0;3;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
ZO_5;0;5;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
ZQ_14;1;14;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
ZT_13;0;13;0;0.8235294117647058;1.0;1.0;1.0;;;;baseline_max
Z_10;0;10;0;0.9310344827586207;1.0;1.0;1.0;1.0;1.0;-1.0;baseline_max
