Case ID,Actual,Prefix Length,Prediction,Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation
AEFE_4,1,4,0,0.9874450312606405;1.0;0.5;0.9994367783722894
ALFE_8,1,8,0,0.9874450312606405;1.0;0.5;0.9994367783722894
BHLD_10,0,10,0,0.9874450312606405;1.0;0.5;0.9994367783722894
BMLD_6,0,6,0,0.9874450312606405;1.0;0.5;0.9994367783722894
BSGE_2,1,2,0,0.9279284160661346;1.0;0.5;0.9994367783722894
CQND_3,0,3,0,0.9874450312606405;1.0;0.5;0.9994367783722894
CWGE_8,0,8,0,0.9874450312606405;1.0;0.5;0.9994367783722894
CWND_3,1,3,1,0.8978075065031587;1.0;1.0;0.7072063386359937
DIGE_4,1,4,0,0.9279284160661346;1.0;0.5;0.9994367783722894
DITD_10,0,10,0,0.9874450312606405;1.0;0.5;0.9994367783722894
DLLD_9,0,9,0,0.9874450312606405;1.0;0.5;0.9994367783722894
DPCE_6,0,6,0,0.9874450312606405;1.0;0.5;0.9994367783722894
DPPE,1,1,0,0.9279284160661346;1.0;0.5;0.9994367783722894
DRYD_14,0,14,0,0.9874450312606405;1.0;0.5;0.9994367783722894
DYLD_10,0,10,0,0.9874450312606405;1.0;0.5;0.9994367783722894
EFZD_8,0,8,0,0.9874450312606405;1.0;0.5;0.9994367783722894
EJSD_5,1,5,0,0.9279284160661346;1.0;0.5;0.9994367783722894
EJSD_9,1,9,0,0.9874450312606405;1.0;0.5;0.9994367783722894
FERD,1,1,0,0.9279284160661346;1.0;0.5;0.9994367783722894
FHYD,1,1,0,0.9279284160661346;1.0;0.5;0.9994367783722894
FRRD_9,0,9,0,0.9874450312606405;1.0;0.5;0.9994367783722894
FYUD_13,0,13,0,0.9874450312606405;1.0;0.5;0.9994367783722894
GARD_8,1,8,0,0.9874450312606405;1.0;0.5;0.9994367783722894
GARD_9,1,9,1,0.8978075065031587;1.0;1.0;0.7072063386359937
GBLD_3,1,3,0,0.9874450312606405;1.0;0.5;0.9994367783722894
GEYD_4,0,4,0,0.9874450312606405;1.0;0.5;0.9994367783722894
GKLD_2,0,2,0,0.9279284160661346;1.0;0.5;0.9994367783722894
GWSD_6,1,6,0,0.9874450312606405;1.0;0.5;0.9994367783722894
GXYD_11,1,11,0,0.9874450312606405;1.0;0.5;0.9994367783722894
GXYD_12,1,12,0,0.9874450312606405;1.0;0.5;0.9994367783722894
GXYD_13,1,13,0,0.9874450312606405;1.0;0.5;0.9994367783722894
GXYD_14,1,14,0,0.9874450312606405;1.0;0.5;0.9994367783722894
GXYD_9,1,9,0,0.9874450312606405;1.0;0.5;0.9994367783722894
HTME_8,0,8,0,0.9279284160661346;1.0;0.5;0.9994367783722894
HXTD_2,1,2,1,0.8978075065031587;1.0;1.0;0.7072063386359937
HZLE_5,0,5,0,0.9874450312606405;1.0;0.5;0.9994367783722894
IDGE_3,0,3,0,0.9874450312606405;1.0;0.5;0.9994367783722894
IFDE_2,0,2,0,0.9279284160661346;1.0;0.5;0.9994367783722894
IFLD_9,0,9,0,0.9874450312606405;1.0;0.5;0.9994367783722894
IOEE_10,1,10,0,0.9874450312606405;1.0;0.5;0.9994367783722894
IOEE_12,1,12,0,0.9874450312606405;1.0;0.5;0.9994367783722894
IOEE_13,1,13,0,0.9874450312606405;1.0;0.5;0.9994367783722894
IOEE_14,1,14,0,0.9874450312606405;1.0;0.5;0.9994367783722894
IPGE_11,0,11,0,0.9874450312606405;1.0;0.5;0.9994367783722894
IPGE_12,0,12,0,0.9874450312606405;1.0;0.5;0.9994367783722894
IQEE_8,1,8,0,0.9874450312606405;1.0;0.5;0.9994367783722894
IQMD_3,0,3,0,0.9279284160661346;1.0;0.5;0.9994367783722894
JEZD_5,1,5,0,0.9279284160661346;1.0;0.5;0.9994367783722894
JGXD_2,1,2,0,0.9279284160661346;1.0;0.5;0.9994367783722894
JISD_11,1,11,0,0.9874450312606405;1.0;0.5;0.9994367783722894
JISD_12,1,12,0,0.9874450312606405;1.0;0.5;0.9994367783722894
JISD_13,1,13,1,0.8978075065031587;1.0;1.0;0.7072063386359937
JKIE_7,0,7,0,0.9874450312606405;1.0;0.5;0.9994367783722894
JSME,0,1,0,0.9279284160661346;1.0;0.5;0.9994367783722894
JTPD_4,0,4,0,0.9874450312606405;1.0;0.5;0.9994367783722894
JVLD_8,0,8,0,0.9874450312606405;1.0;0.5;0.9994367783722894
JXCE_11,1,11,0,0.9874450312606405;1.0;0.5;0.9994367783722894
KKOD_7,0,7,0,0.9874450312606405;1.0;0.5;0.9994367783722894
LDMD_10,1,10,1,0.8978075065031587;1.0;1.0;0.7072063386359937
LQFE_11,0,11,0,0.9874450312606405;1.0;0.5;0.9994367783722894
LWDE_4,1,4,0,0.9279284160661346;1.0;0.5;0.9994367783722894
LZIE_2,1,2,0,0.9279284160661346;1.0;0.5;0.9994367783722894
MKKD_13,0,13,0,0.9874450312606405;1.0;0.5;0.9994367783722894
MLWD,0,1,0,0.9279284160661346;1.0;0.5;0.9994367783722894
MNQE,1,1,0,0.9279284160661346;1.0;0.5;0.9994367783722894
MNYD_5,0,5,0,0.9874450312606405;1.0;0.5;0.9994367783722894
MWTD_7,1,7,1,0.8978075065031587;1.0;1.0;0.7072063386359937
NAKD,0,1,0,0.9279284160661346;1.0;0.5;0.9994367783722894
NJVD_11,0,11,0,0.9874450312606405;1.0;0.5;0.9994367783722894
OESD_4,0,4,0,0.9279284160661346;1.0;0.5;0.9994367783722894
OEZD_6,1,6,1,0.8978075065031587;1.0;1.0;0.7072063386359937
OMBE_2,0,2,0,0.9279284160661346;1.0;0.5;0.9994367783722894
OTMD_14,0,14,0,0.9874450312606405;1.0;0.5;0.9994367783722894
PJTD_5,0,5,0,0.9874450312606405;1.0;0.5;0.9994367783722894
PLCE_9,0,9,0,0.9874450312606405;1.0;0.5;0.9994367783722894
PRPD_6,0,6,0,0.9874450312606405;1.0;0.5;0.9994367783722894
QPMD_7,0,7,0,0.9874450312606405;1.0;0.5;0.9994367783722894
RDBE_4,1,4,0,0.9279284160661346;1.0;0.5;0.9994367783722894
RTMD_7,0,7,0,0.9874450312606405;1.0;0.5;0.9994367783722894
