Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation
916.0;0.0;1.0;1.0;0.5119661598777093;1.0;1.0;1.0;0.0;0.0;0.01812318721073159;0.5;0.5;0.7305128999961927
925.0;1.0;1.0;1.0;0.992119926598268;1.0;1.0;1.0;0.0;0.0;0.025181587056929848;0.5;0.5;0.731815764996126
1032.0;1.0;1.0;1.0;0.9955881911325662;1.0;1.0;1.0;0.0;0.0;0.022381961378987018;0.5;0.5;0.7299111282697662
1096.0;0.0;1.0;1.0;0.9524557077461198;1.0;1.0;1.0;0.0;0.0;0.022467582609025448;0.5;0.5;0.7301097713639264
1108.0;0.0;1.0;1.0;0.8692198889797513;1.0;1.0;1.0;0.0;0.0;0.018723083950885358;0.5;0.5;0.727766951341625
1115.0;1.0;1.0;0.0;0.6900116050103822;1.0;1.0;1.0;0.0;0.0;0.016485991301927475;1.0;0.5;0.7415142219463016
1117.0;1.0;1.0;1.0;0.7211645446128909;1.0;1.0;1.0;0.0;0.0;0.019942464917568608;1.0;0.5;0.7400068714082623
1141.0;0.0;1.0;0.0;0.7070261251666609;1.0;1.0;1.0;0.0;0.0;0.024485688480544103;1.0;0.5;0.7406612251302018
1017_2;1.0;2.0;1.0;0.9999997634471592;1.0;1.0;1.0;0.0;0.0;0.07130337451642878;0.0;0.0;0.5672500955604238
1023_2;0.0;2.0;0.0;0.9843522053551969;1.0;1.0;1.0;0.0;0.0;0.07377339238190063;0.0;0.0;0.5764729388672787
1026_2;1.0;2.0;1.0;0.9999999889284408;1.0;1.0;1.0;0.0;0.0;0.07557804934314002;0.0;0.0;0.57596633835214
1039_2;0.0;2.0;1.0;0.999920752906428;1.0;1.0;1.0;0.0;0.0;0.07206861059373214;0.0;0.0;0.5727955619136381
1088_2;0.0;2.0;1.0;0.995923426599818;1.0;1.0;1.0;0.0;0.0;0.0777430545547268;0.0;0.0;0.5769750161635321
1102_2;0.0;2.0;1.0;0.9999943212699354;1.0;1.0;1.0;0.0;0.0;0.07502123490373831;0.0;0.0;0.5781555762925606
985_2;1.0;2.0;1.0;0.9999929307507204;1.0;1.0;1.0;0.0;0.0;0.0719300104483526;0.0;0.0;0.5678019282644141
989_2;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.07502772369758556;0.0;0.0;0.5751159732017287
1042_3;1.0;3.0;1.0;0.9421335782187472;1.0;1.0;1.0;0.0;0.0;0.16084006410053864;1.0;0.5;0.47632697998754603
1061_3;0.0;3.0;0.0;0.8507533331018349;1.0;1.0;1.0;0.0;0.0;0.16425755932575795;1.0;0.5;0.4756741331163095
1102_3;0.0;3.0;1.0;0.9979520498444744;1.0;1.0;1.0;0.0;0.0;0.1663997624631403;1.0;0.5;0.45813895956922296
1122_3;1.0;3.0;0.0;0.9981720841865868;1.0;1.0;1.0;0.0;0.0;0.16047566941267652;1.0;0.5;0.4664902647703767
1136_3;0.0;3.0;0.0;0.701719986702255;1.0;1.0;1.0;0.0;0.0;0.16573341670293548;1.0;0.5;0.4634460911573079
937_3;0.0;3.0;1.0;0.8288393475803572;1.0;1.0;1.0;0.0;0.0;0.1608347053551289;1.0;0.5;0.4424632993014446
977_3;1.0;3.0;1.0;0.9999421730188108;1.0;1.0;1.0;0.0;0.0;0.16372088391587525;1.0;0.5;0.4485809879599973
978_3;1.0;3.0;1.0;0.9998894085789519;1.0;1.0;1.0;0.0;0.0;0.16120387624352525;1.0;0.5;0.45089162576268815
1022_4;0.0;4.0;1.0;0.8486496360163384;1.0;1.0;1.0;0.0;0.0;0.1667827859131688;0.0;0.0;0.49015041105365476
1053_4;0.0;4.0;0.0;0.9968988313143892;1.0;1.0;1.0;0.0;0.0;0.1657122309500997;0.5;1.0;0.4945522829814558
1091_4;1.0;4.0;1.0;0.9999975081812364;1.0;1.0;1.0;0.0;0.0;0.16489364152693972;0.5;1.0;0.4945795861153981
1104_4;1.0;4.0;1.0;0.9999938470576508;1.0;1.0;1.0;0.0;0.0;0.1644259521055835;0.5;1.0;0.499958303502022
1136_4;0.0;4.0;0.0;0.9378682114306164;1.0;1.0;1.0;0.0;0.0;0.16595115658917722;0.5;1.0;0.5027341221194843
959_4;1.0;4.0;1.0;0.9999779099843844;1.0;1.0;1.0;0.0;0.0;0.1627324188306719;0.5;1.0;0.48579101066754166
973_4;0.0;4.0;0.0;0.9999910931281758;1.0;1.0;1.0;0.0;0.0;0.16601841905856982;0.5;1.0;0.49047198129786357
998_4;1.0;4.0;1.0;0.9999999452482471;1.0;1.0;1.0;0.0;0.0;0.16483713308849954;0.0;0.0;0.49256825524831876
1042_5;1.0;5.0;1.0;0.9010010208069013;1.0;1.0;1.0;0.0;0.0;0.17945308872449972;0.0;0.0;0.5722082485045106
1070_5;0.0;5.0;0.0;0.7590264920449967;1.0;1.0;1.0;0.0;0.0;0.17702844572876242;0.0;0.0;0.5700495116718299
1081_5;1.0;5.0;0.0;0.9445981009713535;1.0;1.0;1.0;0.0;0.0;0.17248644347196565;0.0;0.0;0.5494440775666881
1090_5;1.0;5.0;1.0;0.9979987578762868;1.0;1.0;1.0;0.0;0.0;0.17370364966457266;0.0;0.0;0.5545055941732079
1095_5;0.0;5.0;1.0;0.9882673266044256;1.0;1.0;1.0;0.0;0.0;0.17961390053267506;0.0;0.0;0.5708087391628078
1096_5;0.0;5.0;1.0;0.9977729356273052;1.0;1.0;1.0;0.0;0.0;0.17484655280933403;0.0;0.0;0.5749161598889987
1105_5;0.0;5.0;0.0;0.5391518256249913;1.0;1.0;1.0;0.0;0.0;0.17484323686264794;0.0;0.0;0.5682324272100894
1127_5;1.0;5.0;1.0;0.9973032605844078;1.0;1.0;1.0;0.0;0.0;0.17664711185986534;0.0;0.0;0.5676275759756103
1062_6;1.0;6.0;1.0;0.7884339903575581;1.0;1.0;1.0;0.0;0.0;0.18750829224076931;1.0;1.0;0.5890460195675451
1094_6;1.0;6.0;1.0;0.9832726542150528;1.0;1.0;1.0;0.0;0.0;0.18759963454702386;1.0;1.0;0.5842626564574985
1099_6;0.0;6.0;1.0;0.9794597092882166;1.0;1.0;1.0;0.0;0.0;0.18757814223966984;1.0;1.0;0.5918732332894117
1135_6;0.0;6.0;0.0;0.8223413314566344;1.0;1.0;1.0;1.0;1.0;0.1856516472549905;1.0;1.0;0.5947346903266073
